년도,출자분야,운용사,조합명,만기일,금액,약정액
2018,대학창업(기술지주형),부산지역대학연합기술지주,부산-대경연합 제3호 개인투자조합,2028-10-03,4180.0,3000.0
2018,대학창업(기술지주형),서울대학교기술지주,서울대 STH 제2호 개인투자조합,2028-08-15,4000.0,2000.0
2018,대학창업(기술지주형),부산대학교기술지주,하이파이브 대학창업개인투자조합,2025-08-19,3000.0,1600.0
2018,대학창업(기술지주형),미래과학기술지주,미래-과기특성화대학 창업투자 제1호 개인투자조합,2027-07-12,6750.0,3700.0
2018,대학창업(기술지주형),한양대학교기술지주회사,한양대학교 창업엔진 개인투자조합,2028-07-31,2740.0,2050.0
2018,대학창업(기술지주형),포항공과대학교기술지주,포스텍 경북 Challenge Seed 투자조합,2028-09-02,5000.0,2650.0
2018,융합콘텐츠창업초기,인라이트벤처스,인라이트 4호 엔제이아이 펀드,2026-09-05,15000.0,10000.0
2018,사회적기업,포스코기술투자,피씨씨 사회적기업2호 펀드,2026-11-06,10800.0,7500.0
2018,스포츠산업육성,이수창업투자,ISU-AJ스포츠투자조합,2026-11-07,17000.0,10000.0
2018,보건산업초기기술창업,시너지아이비투자,시너지 바이오 헬스케어 벤처펀드,2028-10-25,30000.0,18000.0
2018,공공특허사업화,더웰스인베스트먼트,더웰스 IP기술사업화 투자조합,2026-11-08,20000.0,10000.0
2018,가치평가연계,캐피탈원,캐피탈원 콘텐츠가치평가 투자조합,2025-11-15,10010.0,6000.0
2018,해외연계,유니온투자파트너스,유니온글로벌익스페디션투자조합,2025-11-06,25000.0,15000.0
2018,일자리창출,대성창업투자,대성 블라썸 일자리 투자조합,2025-10-23,30100.0,18000.0
2018,일자리창출,케이티비네트워크,KTBN 미래콘텐츠일자리창출투자조합,2026-10-23,30000.0,18000.0
2018,애니메이션·캐릭터,대교인베스트먼트,대교애니메이션전문투자조합,2027-11-15,31000.0,21000.0
2018,여성기업,델타인베스트먼트,델타벤처투자조합1호,2026-11-05,10000.0,6000.0
2018,엔젤세컨더리,어센도벤처스,어센도 제너시스 투자조합,2026-10-11,23250.0,14000.0
2018,소셜임팩트,디쓰리쥬빌리파트너스,D3 임팩트 벤처투자조합 제1호,2026-08-16,15000.0,12000.0
2018,소셜임팩트,코메스인베스트먼트,코메스2018-2 소셜임팩트투자조합,2026-11-15,10000.0,8000.0
2018,민간제안,인사이트에퀴티파트너스,인사이트비전1호 투자조합,2026-11-07,21300.0,8000.0
2018,민간제안,포스코기술투자,연구개발특구 일자리창출펀드 2,2026-07-24,73350.0,28000.0
2018,민간제안,플래티넘기술투자,플래티넘-혁신벤처펀드,2026-11-08,62500.0,3000.0
2018,혁신성장,케이비인베스트먼트,케이비 디지털 이노베이션 벤처투자조합,2026-11-15,136000.0,28000.0
2018,혁신성장,메디치인베스트먼트,메디치 2018-2 중소선도기업 창업투자조합,2026-12-27,78500.0,28000.0
2018,혁신성장,티에스인베스트먼트,티에스 2018-12 M&A 투자조합,2026-12-19,130720.0,32000.0
2018,창업초기,뮤렉스파트너스,뮤렉스퍼플1호투자조합,2026-09-11,38700.0,18000.0
2018,창업초기,코나인베스트먼트,케이브릿지-코나 혁신 스타트업 투자조합,2026-09-20,16600.0,9000.0
2018,창업초기,마그나인베스트먼트,2018 하나-마그나 스타트업 펀드,2026-08-07,32000.0,18000.0
2018,창업초기,비에스케이인베스트먼트,BSK 8호 창업초기 투자조합,2026-11-28,20000.0,12000.0
2018,창업초기,디티앤인베스트먼트,DTNI-창업초기 혁신 투자조합,2026-11-28,58830.0,18000.0
2018,창업초기,어니스트벤처스,스마트 혁신산업단지 제1호 투자조합 ,2026-11-08,20710.0,12000.0
2018,창업초기,삼호그린인베스트먼트,SGI 유니콘 스타트업 투자조합,2026-09-18,30000.0,16500.0
2018,창업초기,씨케이디창업투자,CKD-BS Start-Up 벤처투자조합,2026-11-08,30000.0,18000.0
2018,창업초기,마젤란기술투자,MTI스타트업320펀드,2026-11-08,15000.0,9000.0
2018,창업초기,인터밸류파트너스,인터밸류2호 혁신창업 투자조합,2026-08-12,20000.0,12000.0
2018,민간제안,보광창업투자,전남-보광 청년창업 투자조합,2028-06-27,10000.0,6000.0
2018,소셜임팩트,옐로우독,옐로우독같이하다투자조합,2027-07-10,20200.0,16000.0
2018,창업초기,컴퍼니케이파트너스,컴퍼니케이-교원 창업초기펀드,2026-06-21,30000.0,18000.0
2017,가상·증강현실(VR·AR),코리아에셋투자증권,KAI-KVIC 가상증강현실투자조합,2028-03-29,20000.0,12000.0
2017,청년창업,케이넷투자파트너스,케이넷 VALUE-UP 벤처투자조합,2028-03-08,50000.0,30000.0
2017,4차 산업혁명,BSK인베스트먼트,BSK 7호 E-신산업 투자조합,2027-11-16,30000.0,4900.0
2017,대학창업,부산지역대학연합기술지주,부산연합 제2호 개인투자조합,2027-10-29,3000.0,2200.0
2017,대학창업,서울대학교기술지주,서울대 STH  제1호 개인투자조합,2027-08-20,6000.0,3000.0
2017,대학창업,고려대학교기술지주,고려대 대학창업 제1호 개인투자조합,2027-08-17,3000.0,2250.0
2017,청년창업,KB인베스트먼트,KB 청년창업 3.0 투자조합,2026-12-28,30000.0,18000.0
2017,조선업 구조개선,"(Co-GP)나우아이비캐피탈, 에이스투자금융",나우 에이스 파트너십펀드,2026-06-24,40000.0,20000.0
2017,조선업 구조개선,캐피탈원,캐피탈원 조선업 구조개선 투자조합,2026-04-24,20000.0,10000.0
2017,일반,LB인베스트먼트,LB유망벤처산업펀드,2026-03-28,145600.0,1000.0
2017,청년창업,엠지인베스트먼트,MGI바이오신성장투자조합 1호,2026-03-08,12500.0,7500.0
2017,청년창업,미시간벤처캐피탈,미시간글로벌파이어니어투자조합,2026-03-08,25000.0,15000.0
2017,청년창업,유티씨인베스트먼트,유티씨스테이지컨텐츠펀드,2026-03-08,24500.0,12000.0
2017,재기지원,동문파트너즈,다산에스비에이재기투자조합,2026-02-26,20000.0,16000.0
2017,일반,엘앤에스벤처캐피탈,엘앤에스 글로벌 반도체성장 투자조합,2026-02-22,60000.0,4000.0
2017,관광산업육성,"(Co-GP)에스제이투자파트너스, KB증권",케이비-에스제이 관광벤처조합,2026-01-24,27000.0,15000.0
2017,일반,한국투자파트너스 ,한국투자 Re-Up 펀드,2026-01-22,285000.0,4000.0
2017,청년창업,알바트로스인베스트먼트,알바트로스넥스트제너레이션펀드,2026-01-08,29001.0,15000.0
2017,지식재산권,시너지아이비투자,시너지 밸류 웨이브 벤처펀드,2026-01-07,18000.0,10000.0
2017,지방기업,케이브릿지인베스트먼트,케이브릿지2호 동남권 일자리창출 투자조합,2026-01-07,10000.0,6000.0
2017,재기지원,지온인베스트먼트,지온 재기지원 펀드,2026-01-04,20000.0,16000.0
2017,재기지원,심본투자파트너스,심본2호 리스타트 펀드,2026-01-04,20000.0,16000.0
2017,재기지원,패스파인더에이치,패스파인더 리본 투자조합,2025-12-28,20000.0,16000.0
2017,4차 산업혁명,인터베스트,인터베스트4차산업혁명투자조합,2025-12-28,110000.0,35000.0
2017,4차 산업혁명,포스코기술투자,포스코 4차 산업혁명 펀드,2025-12-28,20000.0,14000.0
2017,4차 산업혁명,케이티비네트워크,KTBN 13호 벤처투자조합,2025-12-28,51000.0,21000.0
2017,청년창업,이에스인베스터,이에스4호청년창업투자조합,2025-12-28,10100.0,6000.0
2017,청년창업,DSC인베스트먼트,DSC드림X청년창업펀드,2025-12-28,50000.0,18000.0
2017,청년창업,스톤브릿지벤처스,스톤브릿지영프론티어투자조합,2025-12-28,42500.0,20500.0
2017,청년창업,세마트랜스링크인베스트먼트,Translink글로벌파트너쉽청년창업투자조합,2025-12-28,35000.0,15000.0
