회사명,종류,회차,발행액(억원),만기일,평가종류,직전등급,현재등급,평가일,리포트,Type
리치월드제19차,ABS,2(사모사채),3.58,2022.05.27,본,,AAA (sf),2020.11.10,S,자산유동화증권
세이프박스제오차,ABCP,1,2450,,본,,A1 (sf),2020.11.10,S,자산유동화증권
세이프박스제오차,ABS,1(사모사채),3.58,2022.05.09,본,,AAA (sf),2020.11.10,S,자산유동화증권
유플러스엘티이제사십차유동화전문,ABS,1-17,20,2022.02.08,정기,AAA (sf),AAA (sf),2020.11.10,S,자산유동화증권
한옥마을제일차,ABCP,1-1,1300,,본,,A1 (sf),2020.11.10,S,자산유동화증권
한옥마을제일차,ABS,1-2(사모사채),2.11,2022.05.10,본,,AA+ (sf),2020.11.10,S,자산유동화증권
그레이트지엠제이십삼차,ABSTB,3,700,,본,,A2+ (sf),2020.11.09,S,자산유동화증권
그레이트지엠제이십삼차,ABCP,4,700,,본,,A2+ (sf),2020.11.09,S,자산유동화증권
네버엔딩제사십일차,ABCP,2,3.2,,본,,A1 (sf),2020.11.09,S,자산유동화증권
뉴마레제삼차,ABS,1(사모사채),3.6,2022.05.09,본,,AAA (sf),2020.11.09,S,자산유동화증권
뉴마레제삼차,ABCP,1-1,2450,,본,,A1 (sf),2020.11.09,S,자산유동화증권
더불어제오차,ABCP,1-1,2420.35,,본,,A1 (sf),2020.11.09,S,자산유동화증권
더불어제오차,ABS,1-2(사모사채),3.7,2022.05.09,본,,AAA (sf),2020.11.09,S,자산유동화증권
비케이베스트제6차,ABCP,1,2450,,본,,A1 (sf),2020.11.09,S,자산유동화증권
비케이베스트제6차,ABS,1(사모사채),3.58,2022.06.27,본,,AAA (sf),2020.11.09,S,자산유동화증권
빅아이제십이차,ABCP,1,2450,,본,,A1 (sf),2020.11.09,S,자산유동화증권
빅아이제십이차,ABS,1(사모사채),3.59,2022.06.30,본,,AAA (sf),2020.11.09,S,자산유동화증권
세이프박스제사차,ABCP,1,2450,,본,,A1 (sf),2020.11.09,S,자산유동화증권
세이프박스제사차,ABS,1(사모사채),3.57,2022.05.08,본,,AAA (sf),2020.11.09,S,자산유동화증권
케이희망제15차,ABCP,2,2450,,본,,A1 (sf),2020.11.09,S,자산유동화증권
케이희망제15차,ABS,2(사모사채),3.58,2022.06.27,본,,AAA (sf),2020.11.09,S,자산유동화증권
퀀텀챌린지제십삼차,ABCP,2-1,2450,,본,,A1 (sf),2020.11.09,S,자산유동화증권
퀀텀챌린지제십삼차,ABS,2-2(사모사채),3.6,2022.05.09,본,,AAA (sf),2020.11.09,S,자산유동화증권
크레이그제일차,ABCP,1,2450,,본,,A1 (sf),2020.11.09,S,자산유동화증권
크레이그제일차,ABS,1(사모사채),3.6,2022.05.31,본,,AAA (sf),2020.11.09,S,자산유동화증권
트루프랜드경산제오차,ABCP,8,560,,본,,A1 (sf),2020.11.09,S,자산유동화증권
하나헤븐제일차,ABSTB,9,320,,본,,A1 (sf),2020.11.09,S R,자산유동화증권
한국주택금융공사,BC,MBS 2020-35,600,2040.11.10,본,,AAA (sf),2020.11.09,S,자산유동화증권
비욘드성성제일차,ABCP,1,30,,본,,A1 (sf),2020.11.06,S R,자산유동화증권
비욘드성성제일차,ABSTB,4,30,,본,,A1 (sf),2020.11.06,S R,자산유동화증권
제이비우리캐피탈오토제십팔차유동화전문,ABS,1-26,150,2024.04.24,정기,A (sf),A (sf),2020.11.06,S,자산유동화증권
제이비우리캐피탈오토제십팔차유동화전문,ABS,1-27,60,2024.05.24,정기,BBB (sf),BBB (sf),2020.11.06,S,자산유동화증권
퍼스트에스와이제일차,ABSTB,9,9.8,,본,,A1 (sf),2020.11.06,S R,자산유동화증권
마이트세운삼구역제이차,ABSTB,29,700,,수시,A1 (sf),A1 (sf),2020.11.05,S,자산유동화증권
마이트세운삼구역제일차,ABSTB,28,2912,,수시,A1 (sf),A1 (sf),2020.11.05,S,자산유동화증권
빅아이제십일차,ABCP,1,2450,,본,,A1 (sf),2020.11.05,S,자산유동화증권
빅아이제십일차,ABS,1(사모사채),3.66,2022.06.30,본,,AAA (sf),2020.11.05,S,자산유동화증권
유에스스마일제일차,ABSTB,16,30,,본,,A1 (sf),2020.11.05,S R,자산유동화증권
유플러스파이브지제사십육차유동화전문,ABS,1-17,20,2023.02.07,정기,AAA (sf),AAA (sf),2020.11.05,S,자산유동화증권
인베스트스타제일차,ABSTB,9,150,,본,,A1 (sf),2020.11.05,S R,자산유동화증권
제이드림제20차,ABCP,3,2450,,본,,A1 (sf),2020.11.05,S,자산유동화증권
제이드림제20차,ABS,3(사모사채),3.66,2022.06.27,본,,AAA (sf),2020.11.05,S,자산유동화증권
제이드연지2유동화전문,ABS,1,2260,2021.12.31,정기,AA+ (sf),AA+ (sf),2020.11.05,S,자산유동화증권
케이마르스제사차,ABCP,1-2,1300,,본,,A1 (sf),2020.11.05,S,자산유동화증권
케이마르스제사차,ABS,1-2(사모사채),2,2022.05.03,본,,AAA (sf),2020.11.05,S,자산유동화증권
케이마르스제삼차,ABS,1(사모사채),2,2021.12.03,본,,AAA (sf),2020.11.05,S,자산유동화증권
퀀텀챌린지제십이차,ABCP,2-1,2450,,본,,A1 (sf),2020.11.05,S,자산유동화증권
퀀텀챌린지제십이차,ABS,2-2(사모사채),3.7,2022.05.06,본,,AAA (sf),2020.11.05,S,자산유동화증권
트리플에이제11차,ABCP,4,2450,,본,,A1 (sf),2020.11.05,S,자산유동화증권
트리플에이제11차,ABS,4(사모사채),3.65,2022.05.27,본,,AAA (sf),2020.11.05,S,자산유동화증권
프로젝트신용파크제일차,ABSTB,9,150,,본,,A1 (sf),2020.11.05,S,자산유동화증권
뉴스타트제이에이치,ABCP,21,3,,정기,A1 (sf),A1 (sf),2020.11.04,S,자산유동화증권
리브스타제삼차,ABCP,1,2450,,본,,A1 (sf),2020.11.04,S,자산유동화증권
리브스타제삼차,ABS,1(사모사채),3.74,2022.05.03,본,,AAA (sf),2020.11.04,S,자산유동화증권
지에스솔루션제일차,ABSTB,9-1,510,,본,,A1 (sf),2020.11.04,S R,자산유동화증권
키스아이비플러스제육차,ABSTB,22,1,,정기,A1 (sf),A1 (sf),2020.11.04,S,자산유동화증권
티월드제사십차유동화전문,ABS,1-27,20,2023.02.28,정기,AAA (sf),AAA (sf),2020.11.04,S,자산유동화증권
티월드제삼십구차유동화전문,ABS,1-27,22,2023.01.31,정기,AAA (sf),AAA (sf),2020.11.04,S,자산유동화증권
포에버제이비제삼차,ABS,3(사모사채),2.1,2021.12.10,본,,AAA (sf),2020.11.04,S,자산유동화증권
나인투더제이제일차,ABCP,1,52.3,,본,,A2- (sf),2020.11.03,S R,자산유동화증권
비케이베스트제4차,ABS,4(사모사채),1.23,2022.02.25,본,,AAA (sf),2020.11.03,S,자산유동화증권
산업기반신보안산스포츠파크유동화전문,ABS,1,183,2031.10.30,본,,AAA (sf),2020.11.03,S R,자산유동화증권
샤이닝스톤고산,ABSTB,9,937.5,,본,,A1 (sf),2020.11.03,S R,자산유동화증권
에스엠유동화제일차,ABSTB,9,225,,본,,A2+ (sf),2020.11.03,S R,자산유동화증권
에프엔원동오산,ABSTB,9,700,,본,,A1 (sf),2020.11.03,S R,자산유동화증권
제이드림제20차,ABCP,2,2450,,본,,A1 (sf),2020.11.03,S,자산유동화증권
제이드림제20차,ABS,2(사모사채),3.62,2022.06.27,본,,AAA (sf),2020.11.03,S,자산유동화증권
케이뉴스타트제6차,ABS,5(사모사채),1.82,2021.12.27,본,,AAA (sf),2020.11.03,S,자산유동화증권
케이비원동제일차,ABSTB,45,700,,본,,A1 (sf),2020.11.03,S R,자산유동화증권
케이희망제15차,ABCP,1,2450,,본,,A1 (sf),2020.11.03,S,자산유동화증권
케이희망제15차,ABS,1(사모사채),3.62,2022.06.27,본,,AAA (sf),2020.11.03,S,자산유동화증권
퀀텀챌린지제십일차,ABCP,2-1,900,,본,,A1 (sf),2020.11.03,S,자산유동화증권
퀀텀챌린지제십일차,ABS,2-3(사모사채),2.1,2022.05.03,본,,AAA (sf),2020.11.03,S,자산유동화증권
트리케이제일차,ABS,1(사모사채),1.65,2021.11.15,본,,AAA (sf),2020.11.03,S,자산유동화증권
트리플에이제11차,ABS,3(사모사채),3.39,2022.05.27,본,,AAA (sf),2020.11.03,S,자산유동화증권
트리플에이제11차,ABCP,3-1,2100,,본,,A1 (sf),2020.11.03,S,자산유동화증권
티월드제이십오차유동화전문,ABS,1-27,35,2022.01.02,정기,AAA (sf),AAA (sf),2020.11.03,S,자산유동화증권
티월드제이십육차유동화전문,ABS,1-27,35,2022.01.31,정기,AAA (sf),AAA (sf),2020.11.03,S,자산유동화증권
티월드제이십칠차유동화전문,ABS,1-27,30,2022.02.28,정기,AAA (sf),AAA (sf),2020.11.03,S,자산유동화증권
에스타이거제오차,ABSTB,9,520,,정기,A1 (sf),A1 (sf),2020.11.02,S,자산유동화증권
에스타이거제육차,ABCP,8,300,,정기,A1 (sf),A1 (sf),2020.11.02,S,자산유동화증권
에프엔샤이니,ABSTB,9,1300,,본,,A1 (sf),2020.11.02,S R,자산유동화증권
와이케이블루제오차,ABSTB,1-9,302,,정기,A1 (sf),A1 (sf),2020.11.02,S,자산유동화증권
캐피탈오토제일차유동화전문,ABS,1-15,100,2022.12.18,정기,BBB (sf),A (sf),2020.11.02,S,자산유동화증권
케이뉴스타트제10차,ABCP,1,1314,,본,,A1 (sf),2020.11.02,S,자산유동화증권
케이뉴스타트제10차,ABS,1(사모사채),2.52,2022.05.27,본,,AA (sf),2020.11.02,S,자산유동화증권
케이마르스제일차,ABCP,1,2422,,본,,A1 (sf),2020.11.02,S,자산유동화증권
케이마르스제일차,ABS,1(사모사채),3.7,2022.05.03,본,,AAA (sf),2020.11.02,S,자산유동화증권
키스인니제이차,ABSTB,9,"20,500,000(USD)",,본,,A1 (sf),2020.11.02,S R,자산유동화증권
더블리치제사차,ABSTB,9,100,,본,,A1 (sf),2020.10.30,S R,자산유동화증권
라이언모빌리티제일차,ABCP,9,500,,본,,A1 (sf),2020.10.30,S R,자산유동화증권
리치월드제18차,ABS,4(사모사채),1.94,2022.01.27,본,,AAA (sf),2020.10.30,S,자산유동화증권
부산거제제일차,ABS,1(사모사채),1000,2023.12.29,본,,AA+ (sf),2020.10.30,S R,자산유동화증권
빅아이제십차,ABCP,1-1,1100,,본,,A1 (sf),2020.10.30,S,자산유동화증권
빅아이제십차,ABS,1-2(사모사채),1.31,2022.01.31,본,,AAA (sf),2020.10.30,S,자산유동화증권
스마트지엠제삼차,ABCP,1-5,40,,본,,A3 (sf),2020.10.30,S R,자산유동화증권
에이치엠원창제이차,ABSTB,9,400,,본,,A1 (sf),2020.10.30,S R,자산유동화증권
에프엔대전도안제이차,ABSTB,9,200,,본,,A1 (sf),2020.10.30,S R,자산유동화증권
에프엔대전도안제일차,ABSTB,9,200,,본,,A1 (sf),2020.10.30,S R,자산유동화증권
지원제일차,ABCP,19,160,,본,,A2+ (sf),2020.10.30,S,자산유동화증권
청라에너지제일차,ABCP,9,1000,,본,,A1 (sf),2020.10.30,S R,자산유동화증권
케이아이에스대체제삼차,ABSTB,9,120,,본,,A1 (sf),2020.10.30,S R,자산유동화증권
케이아이에스대체제오차,ABSTB,9,30,,본,,A1 (sf),2020.10.30,S R,자산유동화증권
케이지비알제일차,ABSTB,3,100,,본,,A2- (sf),2020.10.30,S R,자산유동화증권
트리플에이제11차,ABCP,2,1550,,본,,A1 (sf),2020.10.30,S,자산유동화증권
트리플에이제11차,ABS,2(사모사채),2.27,2022.05.27,본,,AAA (sf),2020.10.30,S,자산유동화증권
하이뉴노멀제구차,ABSTB,9,280,,본,,A1 (sf),2020.10.30,S R,자산유동화증권
하이뉴노멀제육차,ABSTB,9,250,,본,,A1 (sf),2020.10.30,S R,자산유동화증권
하이원흥제일차,ABSTB,9,190,,본,,A1 (sf),2020.10.30,S R,자산유동화증권
한국주택금융공사,BC,MBS 2010-10,100,2030.08.26,정기,AAA (sf),AAA (sf),2020.10.30,S,자산유동화증권
한국주택금융공사,BC,MBS 2011-12,100,2031.08.30,정기,AAA (sf),AAA (sf),2020.10.30,S,자산유동화증권
한국주택금융공사,BC,MBS 2012-20,100,2032.08.09,정기,AAA (sf),AAA (sf),2020.10.30,S,자산유동화증권
한국주택금융공사,BC,MBS 2012-21,100,2032.08.17,정기,AAA (sf),AAA (sf),2020.10.30,S,자산유동화증권
한국주택금융공사,BC,MBS 2013-28,100,2033.08.08,정기,AAA (sf),AAA (sf),2020.10.30,S,자산유동화증권
한국주택금융공사,BC,MBS 2015-18,100,2035.08.07,정기,AAA (sf),AAA (sf),2020.10.30,S,자산유동화증권
한국주택금융공사,BC,MBS 2015-19,1479.74,2050.08.25,정기,AAA (sf),AAA (sf),2020.10.30,S,자산유동화증권
바디앤케이디비제삼차,ABCP,시리즈 ABCP,300,,정기,A1 (sf),A1 (sf),2020.10.29,S,자산유동화증권
시은제9차,ABS,1(사모사채),2.07,2022.03.25,본,,AAA (sf),2020.10.29,S,자산유동화증권
엘원비엘티제육차,ABS,1-8,2898,2022.10.28,본,,AAA (sf),2020.10.29,S R,자산유동화증권
와이케이나폴리제일차,ABSTB,9,100,,본,,A1 (sf),2020.10.29,S R,자산유동화증권
장강제십칠차,ABSTB,4,232,,본,,A3 (sf),2020.10.29,S R,자산유동화증권
탠디포르마,ABSTB,9,240,,본,,A1 (sf),2020.10.29,S R,자산유동화증권
통영크리스탈제일차,ABSTB,9,55,,본,,A2- (sf),2020.10.29,S R,자산유동화증권
하이원제십이차,ABS,4(사모사채),2.5,2021.11.30,본,,AAA (sf),2020.10.29,S,자산유동화증권
그린테이블제사차,ABS,1(사모사채),3.2,2022.04.25,본,,AAA (sf),2020.10.28,S,자산유동화증권
그린테이블제사차,ABCP,1-2,1000,,본,,A1 (sf),2020.10.28,S,자산유동화증권
더블유아이제구차,ABSTB,4,100,,본,,A1 (sf),2020.10.28,S R,자산유동화증권
디에프씨제일차,ABSTB,9,40,,본,,A2- (sf),2020.10.28,S R,자산유동화증권
디와이원큐제일차,ABCP,4,300,,본,,A1 (sf),2020.10.28,S R,자산유동화증권
리치게이트제십이차,ABSTB,1-14,400,,수시,A1 (sf),A1 (sf),2020.10.28,S,자산유동화증권
미래에이치엠엠메가쉽,ABSTB,9,"30,900,000(USD)",,본,,A1 (sf),2020.10.28,S R,자산유동화증권
블루다이아제구차,ABSTB,5,110,,본,,A1 (sf),2020.10.28,S R,자산유동화증권
비더블유엘제일차,ABCP,90,300,,본,,A1 (sf),2020.10.28,S,자산유동화증권
빅토리드래곤제삼차,ABCP,3,2450,,본,,A1 (sf),2020.10.28,S,자산유동화증권
빅토리드래곤제삼차,ABS,3(사모사채),3.6,2022.04.08,본,,AAA (sf),2020.10.28,S,자산유동화증권
빅토리드래곤제십일차,ABCP,3,2000,,본,,A1 (sf),2020.10.28,S,자산유동화증권
빅토리드래곤제십일차,ABS,3(사모사채),3,2022.04.08,본,,AAA (sf),2020.10.28,S,자산유동화증권
시은제8차,ABS,6(사모사채),3.14,2022.04.25,본,,AAA (sf),2020.10.28,S,자산유동화증권
시은제8차,ABCP,6-2,1250,,본,,A1 (sf),2020.10.28,S,자산유동화증권
알파속초제일차,ABSTB,9,130,,본,,A1 (sf),2020.10.28,S R,자산유동화증권
에스타이거제십차,ABSTB,9,2000,,본,,A1 (sf),2020.10.28,S R,자산유동화증권
에프엔서초잠원,ABSTB,6,620,,본,,A1 (sf),2020.10.28,S R,자산유동화증권
엑셀스톤레드제일차,ABSTB,9,30,,본,,A1 (sf),2020.10.28,S R,자산유동화증권
우리파크원제일차,ABCP,9,1000,,본,,A1 (sf),2020.10.28,S R,자산유동화증권
인베스트구로제일차,ABSTB,9,100,,수시,A1 (sf),A1 (sf),2020.10.28,S,자산유동화증권
제이드림제20차,ABCP,1,2450,,본,,A1 (sf),2020.10.28,S,자산유동화증권
제이드림제20차,ABS,1(사모사채),3.58,2022.06.27,본,,AAA (sf),2020.10.28,S,자산유동화증권
케이뉴스타트제8차,ABCP,3,2420,,본,,A1 (sf),2020.10.28,S,자산유동화증권
케이뉴스타트제8차,ABS,3(사모사채),3.63,2022.05.26,본,,AAA (sf),2020.10.28,S,자산유동화증권
태평로유동화제일차,ABSTB,9,20,,본,,A1 (sf),2020.10.28,S R,자산유동화증권
트리플에이제11차,ABCP,1,2450,,본,,A1 (sf),2020.10.28,S,자산유동화증권
트리플에이제11차,ABS,1(사모사채),3.58,2022.05.27,본,,AAA (sf),2020.10.28,S,자산유동화증권
마드리드제일차,ABSTB,24,1289,,본,,A1 (sf),2020.10.27,S,자산유동화증권
신보2018제2차유동화전문,ABS,1-3,100.27666,,정기,C (sf),C (sf),2020.10.27,S,자산유동화증권
케이비에코제일차,ABSTB,9,300,,본,,A1 (sf),2020.10.27,S,자산유동화증권
티엘인디펜던스,ABSTB,2-24,203,,정기,A1 (sf),A1 (sf),2020.10.27,S,자산유동화증권
티엘인디펜던스,ABCP,2-25,1,,정기,A1 (sf),A1 (sf),2020.10.27,S,자산유동화증권
하이동래사적제이차,ABSTB,7,230,,본,,A1 (sf),2020.10.27,S R,자산유동화증권
로지스이천제일차,ABSTB,9,80,,본,,A1 (sf),2020.10.26,S R,자산유동화증권
불두제삼차,ABL,,500,,정기,AA- (sf),AA- (sf),2020.10.26,S,자산유동화증권
불두제이차,ABSTB,29,200,,정기,A1 (sf),A1 (sf),2020.10.26,S,자산유동화증권
불두제일차,ABCP,29,648,,정기,A1 (sf),A1 (sf),2020.10.26,S,자산유동화증권
불두제일차,ABSTB,29.,500,,정기,A1 (sf),A1 (sf),2020.10.26,S,자산유동화증권
스마트지엠제사차,ABCP,1-2,1200,,본,,A1 (sf),2020.10.26,S,자산유동화증권
스마트지엠제사차,ABS,1-2(사모사채),1.8,2022.04.25,본,,AAA (sf),2020.10.26,S,자산유동화증권
스마트지엠제일차,ABSTB,8,506,,본,,A2- (sf),2020.10.26,S R,자산유동화증권
스위트제십차,ABCP,1-1,1730,,본,,A1 (sf),2020.10.26,S R,자산유동화증권
시은제8차,ABS,5(사모사채),3.32,2022.04.25,본,,AAA (sf),2020.10.26,S,자산유동화증권
시은제8차,ABCP,5-2,1250,,본,,A1 (sf),2020.10.26,S,자산유동화증권
엠스퀘어지제,ABCP,9,571,,수시,A1 (sf),A1 (sf),2020.10.26,S,자산유동화증권
우리디에스제일차,ABCP,9,270,,본,,A1 (sf),2020.10.26,S R,자산유동화증권
제이드림제19차,ABCP,5,2450,,본,,A1 (sf),2020.10.26,S,자산유동화증권
제이드림제19차,ABS,5(사모사채),2.7,2022.03.25,본,,AAA (sf),2020.10.26,S,자산유동화증권
케이비에이치제사차,ABCP,9,180,,정기,A1 (sf),A1 (sf),2020.10.26,S,자산유동화증권
퍼스트파이브지제오십삼차유동화전문,ABS,1-9,200,2021.08.03,본,,AAA (sf),2020.10.26,S R,자산유동화증권
한국주택금융공사,BC,MBS 2020-34,600,2040.10.27,본,,AAA (sf),2020.10.26,S,자산유동화증권
드림올넷제일차,ABSTB,9,150,,본,,A2- (sf),2020.10.23,S R,자산유동화증권
리치게이트제십이차,ABSTB,1-14,400,,정기,A1 (sf),A1 (sf),2020.10.23,S,자산유동화증권
비엔케이수성제이차,ABSTB,9,200,,본,,A2- (sf),2020.10.23,S R,자산유동화증권
산업기반신보부산신항제이배후도로유동화전문,ABS,1,2200,2044.01.14,본,,AAA (sf),2020.10.23,S R,자산유동화증권
지아이비현,ABSTB,9,216.3,,정기,A1 (sf),A1 (sf),2020.10.23,S,자산유동화증권
코퍼릿턴어라운드제일호,ABSTB,20,1630,,정기,A1 (sf),A1 (sf),2020.10.23,S,자산유동화증권
빅아이제구차,ABS,1(사모사채),2.05,2021.12.31,본,,AAA (sf),2020.10.22,S,자산유동화증권
시은제7차,ABCP,6,2450,,본,,A1 (sf),2020.10.22,S,자산유동화증권
시은제7차,ABS,6(사모사채),2.7,2022.02.25,본,,AAA (sf),2020.10.22,S,자산유동화증권
에이치디씨리조트제일차,ABCP,2,320,,본,,A2+ (sf),2020.10.22,S,자산유동화증권
에이치엠엠메가쉽제사차유동화전문,ABS,1-2,"46,421,000(USD)",2025.12.11,본,,AAA (sf),2020.10.22,S R,자산유동화증권
파주센트럴제사차,ABSTB,9,100,,정기,A1 (sf),A1 (sf),2020.10.22,S,자산유동화증권
파주센트럴제오차,ABSTB,9,150,,정기,A1 (sf),A1 (sf),2020.10.22,S,자산유동화증권
파주센트럴제육차,ABSTB,9,50,,정기,A1 (sf),A1 (sf),2020.10.22,S,자산유동화증권
파주센트럴제일차,ABSTB,9,450,,정기,A1 (sf),A1 (sf),2020.10.22,S,자산유동화증권
파주센트럴제칠차,ABSTB,9,100,,정기,A2+ (sf),A2+ (sf),2020.10.22,S,자산유동화증권
하이뉴노멀제팔차,ABSTB,9,500,,본,,A1 (sf),2020.10.22,S R,자산유동화증권
네오스타제사차,ABCP,9,90,,정기,A1 (sf),A1 (sf),2020.10.21,S,자산유동화증권
더블유비알케이,ABCP,3-1,507,,정기,A1 (sf),A1 (sf),2020.10.21,S,자산유동화증권
더퍼스트양원유동화전문,ABS,1,500,2022.01.04,정기,AAA (sf),AAA (sf),2020.10.21,S,자산유동화증권
더하이스트제십삼차,ABSTB,9,202,,본,,A1 (sf),2020.10.21,S R,자산유동화증권
신보2020제18차유동화전문,ABS,1-2,4020.045,2023.10.29,본,,AAA (sf),2020.10.21,S R,자산유동화증권
신보2020제18차유동화전문,ABS,1-4,178.155,2024.01.29,본,,C (sf),2020.10.21,S R,자산유동화증권
에스오카제일차,ABCP,13,70,,정기,A1 (sf),A1 (sf),2020.10.21,S,자산유동화증권
이뉴스테이제일차,ABSTB,9,256,,정기,A1 (sf),A1 (sf),2020.10.21,S,자산유동화증권
케이뉴스타트제9차,ABCP,2,2450,,본,,A1 (sf),2020.10.21,S,자산유동화증권
케이뉴스타트제9차,ABS,2(사모사채),3.66,2022.06.27,본,,AAA (sf),2020.10.21,S,자산유동화증권
케이에스에이치오제일차,ABSTB,9,303,,수시,A1 (sf),A1 (sf),2020.10.21,S,자산유동화증권
티월드제오십칠차유동화전문,ABS,1-9,100,2021.07.30,본,,AAA (sf),2020.10.21,S R,자산유동화증권
하이아이비제십구차,ABS,3(사모사채),3.4,2022.03.24,본,,AAA (sf),2020.10.21,S,자산유동화증권
하이아이비제십구차,ABCP,3-1,2450,,본,,A1 (sf),2020.10.21,S,자산유동화증권
노브랜드옐로,ABSTB,21,1012,,정기,A1 (sf),A1 (sf),2020.10.20,S,자산유동화증권
뉴지비원유동화전문,ABS,1-3,230,2029.10.28,본,,AAA (sf),2020.10.20,S R,자산유동화증권
디원제일차,ABCP,1-2,2.2,,본,,A1 (sf),2020.10.20,S,자산유동화증권
산업기반신보제십오차유동화전문,ABS,1,1350,2043.05.19,정기,AAA (sf),AAA (sf),2020.10.20,S,자산유동화증권
시은제6차,ABS,3(사모사채),1.7,2021.10.26,본,,AAA (sf),2020.10.20,S,자산유동화증권
에프엔충무로,ABSTB,9,370,,본,,A1 (sf),2020.10.20,S R,자산유동화증권
와이케이빌리브제일차,ABSTB,9,230,,본,,A1 (sf),2020.10.20,S R,자산유동화증권
제이드림제19차,ABCP,4,2400,,본,,A1 (sf),2020.10.20,S,자산유동화증권
제이드림제19차,ABS,4(사모사채),3.3,2022.03.25,본,,AAA (sf),2020.10.20,S,자산유동화증권
더불어제사차,ABS,1-2(사모사채),2.69,2022.01.13,본,,AAA (sf),2020.10.19,S,자산유동화증권
베스트제오차유동화전문,ABS,1-14,100,2022.10.28,본,,AAA (sf),2020.10.19,S R,자산유동화증권
제이드림제18차,ABS,6(사모사채),2.37,2021.12.27,본,,AAA (sf),2020.10.19,S,자산유동화증권
트루프렌드안동제육차,ABCP,1,50,,본,,A1 (sf),2020.10.19,S R,자산유동화증권
파이트어게인스트파인더스트제사차,ABS,2(사모사채),2.4,2021.12.19,본,,AAA (sf),2020.10.19,S,자산유동화증권
파이트어게인스트파인더스트제삼차,ABS,2(사모사채),2.4,2021.12.19,본,,AAA (sf),2020.10.19,S,자산유동화증권
한국주택금융공사,BC,MBS 2020-33,600,2040.10.20,본,,AAA (sf),2020.10.19,S R,자산유동화증권
불두제이차,ABSTB,29,200,,수시,A1 (sf),A1 (sf),2020.10.16,S,자산유동화증권
불두제일차,ABCP,29,648,,수시,A1 (sf),A1 (sf),2020.10.16,S,자산유동화증권
불두제일차,ABSTB,29.,500,,수시,A1 (sf),A1 (sf),2020.10.16,S,자산유동화증권
스카이포트폴리오일호,ABSTB,9,58,,정기,A2- (sf),A2- (sf),2020.10.16,S,자산유동화증권
씨디엘제일차,ABSTB,20,330,,정기,A1 (sf),A1 (sf),2020.10.16,S,자산유동화증권
엠스퀘어엠포트제일차,ABCP,3-1,251,,정기,,A1 (sf),2020.10.16,S,자산유동화증권
엠에스송도리테일제이차,ABSTB,21,416,,정기,A1 (sf),A1 (sf),2020.10.16,S,자산유동화증권
엠에스송도리테일제일차,ABSTB,21,50,,정기,A1 (sf),A1 (sf),2020.10.16,S,자산유동화증권
케이비오산세교,ABSTB,9,900,,수시,A1 (sf),A1 (sf),2020.10.16,S,자산유동화증권
트리플에이제8차,ABS,4(사모사채),2.04,2021.11.26,본,,AAA (sf),2020.10.16,S,자산유동화증권
하이레볼루션제십육차,ABS,3(사모사채),2.4,2021.12.16,본,,AAA (sf),2020.10.16,S,자산유동화증권
하이레지스탕스제오차,ABS,2(사모사채),3.8,2022.04.15,본,,AAA (sf),2020.10.16,S,자산유동화증권
하이레지스탕스제오차,ABCP,2-1,2450,,본,,A1 (sf),2020.10.16,S,자산유동화증권
하이하프문제이차,ABSTB,9,100,,본,,A1 (sf),2020.10.16,S R,자산유동화증권
하이하프문제일차,ABSTB,9,100,,본,,A1 (sf),2020.10.16,S R,자산유동화증권
그레이트지엠제이십팔차,ABCP,1,2450,,본,,A1 (sf),2020.10.15,S,자산유동화증권
그레이트지엠제이십팔차,ABS,1(사모사채),3.4,2022.03.14,본,,AAA (sf),2020.10.15,S,자산유동화증권
목동크리스탈제삼차,ABSTB,9,50,,본,,A2- (sf),2020.10.15,S R,자산유동화증권
에이블온천4유동화전문,ABS,1,1000,2023.10.30,정기,AA+ (sf),AA+ (sf),2020.10.15,S,자산유동화증권
에이블일렉트로닉스제일차,ABSTB,8,700,,본,,A1 (sf),2020.10.15,S R,자산유동화증권
오토피아제칠십차유동화전문,ABS,1-9,200,2023.03.18,본,,AAA (sf),2020.10.15,S R,자산유동화증권
장강제십이차,ABSTB,24,126,,수시,A3 (sf),A3 (sf),2020.10.15,S,자산유동화증권
제이드림제19차,ABCP,3,2450,,본,,A1 (sf),2020.10.15,S,자산유동화증권
제이드림제19차,ABS,3(사모사채),3.32,2022.03.25,본,,AAA (sf),2020.10.15,S,자산유동화증권
코지제일차,ABS,1(사모사채),5.81,2022.04.08,본,,AAA (sf),2020.10.15,S,자산유동화증권
코지제일차,ABCP,1-1,2831.9,,본,,A1 (sf),2020.10.15,S,자산유동화증권
키스제이케이,ABSTB,1-12,200,,본,,A1 (sf),2020.10.15,S,자산유동화증권
티월드제삼십칠차유동화전문,ABS,1-6,5,2022.06.25,정기,AA (sf),AA (sf),2020.10.15,S,자산유동화증권
하나세운제일차,ABSTB,8,200,,본,,A1 (sf),2020.10.15,S R,자산유동화증권
하이왕십리제일차,ABSTB,9,110,,본,,A1 (sf),2020.10.15,S R,자산유동화증권
네오드림닷컴,ABS,2(사모사채),4.1,2022.04.08,본,,AAA (sf),2020.10.14,S,자산유동화증권
네오드림닷컴,ABCP,2-1,2450,,본,,A1 (sf),2020.10.14,S,자산유동화증권
리치월드제19차,ABCP,1,2450,,본,,A1 (sf),2020.10.14,S,자산유동화증권
