회사명,시리즈,유형,공여기관,한도액(억원),약정만료일,평가종류,직전등급,현재등급,평가일,리포트,Type
퍼스트파이브지제오십오차유동화전문,,신용공여,우리은행,121.0,2025.10.16,본,,AAA (sf),2021.03.08,S,유동화익스포져
퍼스트파이브지제사십팔차유동화전문,,신용공여,중소기업은행,88.4,2024.07.23,정기,AAA (sf),AAA (sf),2021.02.25,S,유동화익스포져
케이비오토제사차유동화전문,,신용공여,농협은행,100.0,2025.07.04,본,,AAA (sf),2021.02.22,S,유동화익스포져
기가엘티이제사십이차유동화전문,,신용공여,농협은행,103.2,2022.07.22,정기,AAA (sf),AAA (sf),2021.02.18,S,유동화익스포져
기가엘티이제삼십육차유동화전문,,신용공여,농협은행,97.5,2021.07.28,정기,AAA (sf),AAA (sf),2021.02.18,S,유동화익스포져
티월드제사십육차유동화전문,,신용공여,신한은행,130.0,2022.06.27,정기,AAA (sf),AAA (sf),2021.02.18,S,유동화익스포져
티월드제육십일차유동화전문,,신용공여,국민은행,85.0,2024.08.26,본,,AAA (sf),2021.02.17,S,유동화익스포져
티월드제삼십일차유동화전문,,신용공여,신한은행,50.0,2022.06.27,정기,AAA (sf),AAA (sf),2021.02.09,S,유동화익스포져
티월드제삼십차유동화전문,,신용공여,신한은행,35.0,2022.06.03,정기,AAA (sf),AAA (sf),2021.02.05,S,유동화익스포져
신보2019제10차유동화전문,농협은행이 제공하는 신용공여,신용공여,농협은행,1467.971,2021.11.04,정기,AAA (sf),AAA (sf),2021.02.04,S,유동화익스포져
신보2019제9차유동화전문,농협은행이 제공하는 신용공여,신용공여,농협은행,2775.025,2022.11.04,정기,AAA (sf),AAA (sf),2021.02.04,S,유동화익스포져
지아이비에어,,유동성 및 신용공여,신한은행,100.0,2021.08.30,정기,A- (sf),A- (sf),2021.02.02,S,유동화익스포져
에이치이제일차,,유동성 및 신용공여,우리은행,400.0,2024.02.01,본,,AA- (sf),2021.02.01,S,유동화익스포져
유플러스파이브지제오십오차유동화전문,,신용공여,국민은행,22.0,2024.02.08,본,,AAA (sf),2021.01.29,S,유동화익스포져
오션드림제일차,,유동성 및 신용공여,하나은행,250.0,2022.07.30,정기,A- (sf),A- (sf),2021.01.28,S,유동화익스포져
엔에이치현중홀딩스,,유동성 및 신용공여,농협은행,502.0,2024.12.20,정기,A- (sf),A- (sf),2021.01.27,S,유동화익스포져
마에스트로신반포,,유동성 및 신용공여,신한은행,600.0,2022.10.31,정기,A+ (sf),A+ (sf),2021.01.20,S,유동화익스포져
티월드제육십차유동화전문,,신용공여,국민은행,90.0,2024.07.29,본,,AAA (sf),2021.01.20,S,유동화익스포져
아시아나사이공,,유동성 및 신용공여,우리은행,572.0,2023.07.19,정기,CCC (sf),CCC (sf),2021.01.19,S,유동화익스포져
금호트러스트제일차,,유동성 및 신용공여,우리은행,902.0,2023.07.19,정기,BB+ (sf),BB+ (sf),2021.01.13,S,유동화익스포져
유플러스엘티이제사십이차유동화전문,,신용공여,하나은행,33.0,2022.06.07,정기,AAA (sf),AAA (sf),2021.01.13,S,유동화익스포져
유플러스파이브지제사십팔차유동화전문,,신용공여,하나은행,22.0,2024.07.09,정기,AAA (sf),AAA (sf),2021.01.13,S,유동화익스포져
신보2021제1차유동화전문,국민은행이 제공하는 신용공여,신용공여,국민은행,2092.85,2024.01.25,본,,AAA (sf),2021.01.07,S,유동화익스포져
에스솔루션제일차,,유동성 및 신용공여,신한은행,137.68,2021.11.29,정기,AA (sf),AA (sf),2021.01.04,S,유동화익스포져
에스타이거제이차,,유동성 및 신용공여,우리은행,200.0,2021.07.23,정기,A- (sf),A- (sf),2021.01.04,S,유동화익스포져
기가엘티이제사십일차유동화전문,,신용공여,신한은행,99.6,2022.05.31,정기,AAA (sf),AAA (sf),2020.12.29,S,유동화익스포져
티월드제사십삼차유동화전문,,신용공여,국민은행,85.0,2023.04.30,정기,AAA (sf),AAA (sf),2020.12.23,S,유동화익스포져
퍼스트파이브지제사십칠차유동화전문,,신용공여,우리은행,96.3,2024.05.31,정기,AAA (sf),AAA (sf),2020.12.23,S,유동화익스포져
유플러스엘티이제사십일차유동화전문,,신용공여,국민은행,22.0,2022.04.12,정기,AAA (sf),AAA (sf),2020.12.22,S,유동화익스포져
퍼스트파이브지제오십사차유동화전문,,신용공여,신한은행,97.0,2025.07.29,본,,AAA (sf),2020.12.18,S,유동화익스포져
우리한숲제일차,,유동성공여,우리은행,4.0,2025.12.17,본,AA- (sf),AA- (sf),2020.12.17,S,유동화익스포져
티월드제오십구차유동화전문,,신용공여,신한은행,120.0,2025.06.28,본,,AAA (sf),2020.12.17,S,유동화익스포져
제이비우리캐피탈오토제이십차유동화전문,,신용공여,농협은행,150.0,2023.09.27,정기,AAA (sf),AAA (sf),2020.12.15,S,유동화익스포져
색동이제십구차유동화전문,,신용공여,중소기업은행,1400.0,2021.09.22,수시,BBB (sf)↓,BBB (sf),2020.12.14,S,유동화익스포져
색동이제이십삼차유동화전문,,신용공여,중소기업은행,1000.0,2022.11.09,수시,BBB (sf)↓,BBB (sf),2020.12.14,S,유동화익스포져
올원프렌즈한숲제일차,,유동성 및 신용공여,농협은행,301.0,2024.06.15,본,,AA- (sf),2020.12.14,S,유동화익스포져
티월드제이십구차유동화전문,,신용공여,신한은행,45.0,2022.04.30,정기,AAA (sf),AAA (sf),2020.12.14,S,유동화익스포져
티월드제이십팔차유동화전문,,신용공여,신한은행,25.0,2022.03.28,정기,AAA (sf),AAA (sf),2020.12.14,S,유동화익스포져
우리한숲제일차,,유동성공여,우리은행,5.0,2024.06.24,정기,AA- (sf),AA- (sf),2020.12.10,S,유동화익스포져
