회사명,시리즈,유형,공여기관,한도액(억원),약정만료일,평가종류,직전등급,현재등급,평가일,리포트,Type
유플러스엘티이제삼십팔차유동화전문,,신용공여,하나은행,22.0,2021.10.11,본,,AAA (sf),2018.03.29,S,유동화익스포져
하나디스플레이제일차,,유동성 및 신용공여,하나은행,2000.0,2023.03.27,본,,AA (sf),2018.03.27,S,유동화익스포져
티월드제이십이차유동화전문,,신용공여,신한은행,35.0,2021.09.27,본,,AAA (sf),2018.03.16,S,유동화익스포져
우리디스플레이제이차,,유동성 및 신용공여,우리은행,2000.0,2023.03.02,본,,AA (sf),2018.02.28,S,유동화익스포져
엘터미널제이차,,유동성 및 신용공여,중소기업은행,700.0,2023.02.23,본,,AA- (sf),2018.02.23,S,유동화익스포져
기가엘티이제삼십칠차유동화전문,,신용공여,신한은행,120.0,2021.10.06,본,,AAA (sf),2018.02.22,S,유동화익스포져
엔에이치디스플레이제일차,,유동성 및 신용공여,농협은행,2005.0,2021.08.09,본,,AA (sf),2018.02.08,S,유동화익스포져
티월드제이십일차유동화전문,,신용공여,신한은행,80.0,2021.08.12,본,,AAA (sf),2018.02.01,S,유동화익스포져
유플러스엘티이제삼십칠차유동화전문,,신용공여,신한은행,22.0,2021.08.09,본,,AAA (sf),2018.01.29,S,유동화익스포져
보령터미널제일차,,유동성공여,우리은행,20.0,2037.06.28,정기,AA- (sf),AA- (sf),2018.01.17,S,유동화익스포져
금호트러스트제일차,,유동성 및 신용공여,우리은행,902.0,2023.07.19,정기,BB+ (sf),BB+ (sf),2017.12.28,S,유동화익스포져
에스솔루션제일차,,유동성 및 신용공여,신한은행,670.32,2021.09.27,수시,AA- (sf),AA- (sf),2017.12.20,S,유동화익스포져
기가엘티이제삼십육차유동화전문,,신용공여,농협은행,97.5,2021.07.28,본,,AAA (sf),2017.12.18,S,유동화익스포져
에스솔루션제일차,,유동성 및 신용공여,신한은행,137.68,2021.11.29,본,,AA- (sf),2017.11.27,S,유동화익스포져
색동이제십구차유동화전문,,신용공여,중소기업은행,1400.0,2021.09.22,수시,A- (sf),BBB+ (sf),2017.11.21,S,유동화익스포져
에스에이치이노제일차,,유동성 및 신용공여,,700.0,2021.10.18,본,,AA- (sf),2017.10.16,S,유동화익스포져
에스솔루션제일차,,유동성 및 신용공여,신한은행,670.32,2021.09.27,본,,AA- (sf),2017.09.25,S,유동화익스포져
색동이제십구차유동화전문,,신용공여,중소기업은행,1400.0,2021.09.22,본,,A- (sf),2017.09.13,S,유동화익스포져
엘에이치마이홈오차유동화전문,,신용공여,우리은행,325.0,2023.02.25,정기,AAA (sf),AAA (sf),2017.08.08,S,유동화익스포져
에스솔루션제일차,,유동성 및 신용공여,신한은행,965.16,2021.07.28,본,,AA- (sf),2017.07.28,S,유동화익스포져
아시아나사이공,,유동성 및 신용공여,우리은행,572.0,2023.07.19,정기,CCC (sf),CCC (sf),2017.07.25,S,유동화익스포져
불두제일차,,유동성 및 신용공여,중소기업은행,648.0,2024.04.01,본,,AA- (sf),2017.03.31,S,유동화익스포져
금호트러스트제일차,,유동성 및 신용공여,우리은행,902.0,2023.07.19,정기,BB+ (sf),BB+ (sf),2017.01.05,S,유동화익스포져
보령터미널제일차,,유동성공여,우리은행,20.0,2037.06.28,정기,AA- (sf),AA- (sf),2017.01.05,S,유동화익스포져
아시아나사이공,,유동성 및 신용공여,우리은행,572.0,2023.07.19,정기,CCC (sf),CCC (sf),2016.08.04,S,유동화익스포져
엘에이치마이홈오차유동화전문,,신용공여,우리은행,325.0,2023.02.25,정기,AAA (sf),AAA (sf),2016.07.14,S,유동화익스포져
보령터미널제일차,,유동성공여,우리은행,20.0,2037.06.28,정기,AA- (sf),AA- (sf),2016.01.13,S,유동화익스포져
금호트러스트제일차,,유동성 및 신용공여,우리은행,902.0,2023.07.19,정기,BB+ (sf),BB+ (sf),2016.01.12,S,유동화익스포져
엘에이치마이홈오차유동화전문,,신용공여,우리은행,325.0,2023.02.25,정기,AAA (sf),AAA (sf),2015.08.11,S,유동화익스포져
아시아나사이공,,유동성 및 신용공여,우리은행,572.0,2023.07.19,정기,CCC (sf),CCC (sf),2015.07.28,S,유동화익스포져
보령터미널제일차,,유동성공여,우리은행,20.0,2037.06.28,수시,AA (sf),AA- (sf),2015.02.26,S,유동화익스포져
금호트러스트제일차,,유동성 및 신용공여,우리은행,902.0,2023.07.19,정기,BB+ (sf),BB+ (sf),2015.01.13,S,유동화익스포져
아시아나사이공,,유동성 및 신용공여,우리은행,572.0,2023.07.19,정기,CCC (sf),CCC (sf),2014.12.23,S,유동화익스포져
보령터미널제일차,,유동성공여,"우리은행,하나은행",20.0,2037.06.28,본,,AA (sf),2014.07.21,S,유동화익스포져
엘에이치마이홈오차유동화전문,,신용공여,우리은행,325.0,2023.02.25,정기,AAA (sf),AAA (sf),2014.06.27,S,유동화익스포져
금호트러스트제일차,,유동성 및 신용공여,우리은행,902.0,2023.07.19,본,BB+ (sf),BB+ (sf),2013.07.19,S,유동화익스포져
아시아나사이공,,유동성 및 신용공여,우리은행,572.0,2023.07.19,본,,CCC (sf),2013.07.19,S,유동화익스포져
엘에이치마이홈오차유동화전문,,신용공여,우리은행,325.0,2023.02.25,본,,AAA (sf),2013.02.14,S,유동화익스포져
