,순위,종목코드,종목명,주식종류,시장구분,주당배당금,시가배당율,액면가배당율,액면가,결산월
1232,1233,030215,케이티비투자증권1우,우선주,기타비상장,"2,559",0.00,51.18,"5,000",12
1233,1249,064400,엘지씨엔에스,보통주,기타비상장,855,0.00,171.00,500,12
1234,1250,039885,케이씨씨정보통신1우,우선주,기타비상장,0,0.00,20.00,500,12
1235,1251,050480,마이다스아이티,보통주,프리보드시장,150,0.00,30.00,500,12
1236,1252,046440,케이지모빌리언스,보통주,코스닥시장,220,0.00,44.00,500,12
1237,1253,068410,아코디스,보통주,기타비상장,50,0.00,10.00,500,12
1238,1254,078830,제이오텍,보통주,기타비상장,0,0.00,24.00,500,12
1239,1255,099320,쎄트렉아이,보통주,코스닥시장,340,0.00,68.00,500,12
1240,1256,10384K,우양1우,우선주,기타비상장,50,0.00,50.00,100,12
1241,1257,126340,비나텍,보통주,코스닥시장,0,0.00,0.00,500,12
1242,1258,137080,나래나노텍,보통주,기타비상장,0,0.00,20.00,500,12
1243,1259,140320,대우산업개발,보통주,프리보드시장,230,0.00,4.60,"5,000",12
1244,1260,163560,동일고무벨트,보통주,유가증권시장,100,0.00,20.00,500,12
1245,1246,032760,세종,보통주,기타비상장,0,0.00,1.30,"5,000",12
1246,1247,038990,넥스콘테크놀러지,보통주,기타비상장,"281,500",0.00,93.83,"300,000",12
1247,1248,035240,주택도시보증공사,보통주,기타비상장,0,0.00,3.40,"5,000",12
1248,1249,064400,엘지씨엔에스,보통주,기타비상장,855,0.00,171.00,500,12
1249,1250,039885,케이씨씨정보통신1우,우선주,기타비상장,0,0.00,20.00,500,12
1250,1266,10384K,우양1우,우선주,기타비상장,50,0.00,50.00,100,12
1251,1267,126340,비나텍,보통주,코스닥시장,0,0.00,0.00,500,12
1252,1268,137080,나래나노텍,보통주,기타비상장,0,0.00,20.00,500,12
1253,1269,140320,대우산업개발,보통주,프리보드시장,230,0.00,4.60,"5,000",12
1254,1270,163560,동일고무벨트,보통주,유가증권시장,100,0.00,20.00,500,12
1255,1271,228350,불스원,보통주,기타비상장,0,0.00,5.00,500,12
1256,1272,232150,이지메디컴,보통주,기타비상장,0,0.00,10.00,500,12
1257,1273,138290,지성이씨에스,보통주,기타비상장,200,0.00,20.00,"1,000",12
1258,1274,30292K,더콘텐츠온1우,우선주,기타비상장,5,0.00,1.00,500,12
1259,1275,29664K,이노룰스1우,우선주,기타비상장,0,0.00,0.00,500,12
1260,1261,050480,마이다스아이티,보통주,프리보드시장,150,0.00,30.00,500,12
1261,1262,046440,케이지모빌리언스,보통주,코스닥시장,220,0.00,44.00,500,12
