기업명,회차,종류,평정,직전등급,직전전망,현재등급,현재전망,등급결정일,등급확정일,발행액(억원),요지,재무,보고서,Type
KB캐피탈(주),463-1,SB,본,,,AA-,Stable,2020.11.04,2020.11.04,800,,,,채권
대신증권(주),제546회 주가연계파생결합사채,ELB,본,,,AA-,Stable,2020.11.04,2020.11.04,6.4489,,,,채권
신영증권(주),제197회 외 주가연계파생결합사채,ELB,본,,,AA-,Stable,2020.11.04,2020.11.04,,,,,채권
신영증권(주),제95회 외 기타파생결합사채,DLB,본,,,AA-,Stable,2020.11.04,2020.11.04,,,,,채권
교보증권(주),제10824회 주가연계파생결합사채(ELB),ELB,본,,,A+,Positive,2020.11.03,2020.11.03,.5777,,,,채권
농협금융지주(주),29-2,SB,본,,,AAA,Stable,2020.11.03,2020.11.03,300,,,,채권
현대차증권(주),제803회 주가연계파생결합사채,ELB,본,,,A+,Positive,2020.11.03,2020.11.03,.5775,,,,채권
유안타증권(주),유안타 W 파생결합사채(ELB) 제101호,ELB,본,,,A+,Stable,2020.11.02,2020.11.02,.5775,,,,채권
(주)국민은행,국민은행4011이표일(03)2-16,SB,본,,,AAA,Stable,2020.10.30,2020.10.30,2100,,,,채권
(주)신한은행,신한은행24-11-이-1-B(변동),SB,본,,,AAA,Stable,2020.10.30,2020.10.30,1600,,,,채권
(주)우리은행,24-11외 선순위 무보증사채,SB,본,,,AAA,Stable,2020.10.30,2020.10.30,,,,,채권
(주)우리카드,184-2,SB,본,,,AA,Stable,2020.10.30,2020.10.30,500,,,,채권
(주)전북은행,전북은행24-11이02갑-26,SB,본,,,AA+,Stable,2020.10.30,2020.10.30,500,,,,채권
(주)케이비국민카드,318-2,SB,본,,,AA+,Stable,2020.10.30,2020.10.30,600,,,,채권
(주)하나은행,하나은행43-11이2.75갑-12,SB,본,,,AAA,Stable,2020.10.30,2020.10.30,1200,,,,채권
롯데카드(주),431-2,SB,본,,,AA-,Stable,2020.10.30,2020.10.30,500,,,,채권
산은캐피탈(주),655-3,SB,본,,,AA-,Stable,2020.10.30,2020.10.30,500,,,,채권
삼성카드(주),2491,SB,본,,,AA+,Stable,2020.10.30,2020.10.30,200,,,,채권
신한카드(주),2098-2,SB,본,,,AA+,Stable,2020.10.30,2020.10.30,500,,,,채권
신한캐피탈(주),제431회외,SB,본,,,AA-,Stable,2020.10.30,2020.10.30,,,,,채권
엔에이치농협캐피탈(주),156,SB,본,,,AA-,Stable,2020.10.30,2020.10.30,700,,,,채권
한국토지주택공사,토지주택채권(용지) 20-10,SB,본,,,AAA,Stable,2020.10.30,2020.10.30,4 백만원,,,,채권
현대카드(주),816-3,SB,본,,,AA,Stable,2020.10.30,2020.10.30,1100,,,,채권
하나금융투자(주),제848회 주가연계파생결합사채,ELB,본,,,AA,Stable,2020.10.29,2020.10.29,10,,,,채권
하나금융투자(주),제916회 기타파생결합사채,DLB,본,,,AA,Stable,2020.10.29,2020.10.29,10,,,,채권
한국농어촌공사,22,SB,본,,,AAA,Stable,2020.10.28,2020.10.29,1100,,,,채권
한국서부발전(주),제46-3회,SB,본,,,AAA,Stable,2020.10.29,2020.10.29,800,,,,채권
한국투자증권(주),제1450회 주가연계파생결합사채,ELB,본,,,AA,Stable,2020.10.29,2020.10.29,62.5758,,,,채권
한국투자증권(주),한국투자증권 제152호 기타파생결합사채,DLB,본,,,AA,Stable,2020.10.29,2020.10.29,30 백만USD,,,,채권
(주)신한금융지주회사,제136-2회,SB,본,,,AAA,Stable,2020.10.28,2020.10.28,1500,,,,채권
(주)국민은행,국민은행 4011이표일(03)10(후)-09(사),SB,본,,,AA,Stable,2020.10.27,2020.10.27,4000,,,,채권
(주)신한은행,신한은행22-08-복-20-A,SB,수시,AAA,Stable,취소,,2020.10.27,2020.10.27,500,,,,채권
(주)이랜드이츠,1,SB,수시,,,BB,Negative,2020.10.26,2020.10.27,200,,,,채권
DB금융투자(주),제364회 기타파생결합사채,DLB,본,,,A,Positive,2020.10.27,2020.10.27,1.95,,,,채권
DB금융투자(주),제592회 주가연계파생결합사채,ELB,본,,,A,Positive,2020.10.27,2020.10.27,.2,,,,채권
Nomura International Funding Pte. Ltd.,Nomura International Funding Pte. Ltd. 제2-1회 무기명식 옵션부 무보증사채,SB,수시,AA+,Negative,취소,,2020.10.27,2020.10.27,400,,,,채권
유안타증권(주),유안타 W 파생결합사채(ELB) 제98호 (미발행),ELB,수시,A+,Stable,취소,,2020.10.27,2020.10.27,25,,,,채권
유진투자증권(주),제276회 주가연계파생결합사채,ELB,본,,,A,Stable,2020.10.27,2020.10.27,23.8,,,,채권
(주)BNK금융지주,31,SB,본,,,AAA,Stable,2020.10.23,2020.10.26,1000,,,,채권
(주)티씨씨스틸,36,SB,수시,,,BB+,Stable,2020.10.26,2020.10.26,190,,,,채권
(주)하나금융지주,49-2,SB,본,,,AAA,Stable,2020.10.26,2020.10.26,1600,,,,채권
(주)한국스탠다드차타드은행,제20-11회 외,SB,본,,,AAA,Stable,2020.10.23,2020.10.26,,,,,채권
교보증권(주),제267회 주가연계파생결합사채,ELB,수시,A+,Positive,취소,,2020.10.26,2020.10.26,4,,,,채권
메리츠캐피탈(주),173,SB,본,,,A+,Stable,2020.10.26,2020.10.26,400,,,,채권
메리츠캐피탈(주),제172회 외((주)메리츠금융지주 권면보증),SB,본,,,AA,Stable,2020.10.26,2020.10.26,,,,,채권
우리금융캐피탈(주),408-4,SB,수시,A+,Stable,A+↑,,2020.10.26,2020.10.26,1100,,,,채권
케이비증권(주),제2019-707회 기타파생결합사채,DLB,수시,AA+,Stable,취소,,2020.10.26,2020.10.26,3.5 백만USD,,,,채권
키움증권(주),드림 제142회 주가연계파생결합사채,ELB,본,,,AA-,Stable,2020.10.26,2020.10.26,764.3091,,,,채권
키움증권(주),제128회 기타파생결합사채,DLB,본,,,AA-,Stable,2020.10.26,2020.10.26,1.2,,,,채권
평택에너지서비스(주),2-3,SB,수시,A-,Stable,A-,Positive,2020.10.26,2020.10.26,1000,,,,채권
평택에너지서비스(주),제5-2회,SB,본,,,A-,Positive,2020.10.26,2020.10.26,300,,,,채권
한국산업은행,산금17신이2000-0807-1INT,SB,수시,AAA,Stable,취소,,2020.10.26,2020.10.26,300,,,,채권
현대차증권(주),제808회 주가연계파생결합사채,ELB,본,,,A+,Positive,2020.10.26,2020.10.26,146.0403,,,,채권
현대캐피탈(주),1871-3,SB,본,,,AA,Stable,2020.10.26,2020.10.26,300,,,,채권
(주)지에스이앤알,제24회,SB,본,,,A+,Stable,2020.10.23,2020.10.23,500,,,,채권
비엔케이캐피탈(주),226-1,SB,본,,,AA-,Stable,2020.10.23,2020.10.23,100,,,,채권
우리금융캐피탈(주),408-4,SB,본,,,A+,Stable,2020.10.23,2020.10.23,1100,,,,채권
케이비증권(주),KB증권 제5077호 기타파생결합사채,DLB,본,,,AA+,Stable,2020.10.23,2020.10.23,9.9215,,,,채권
케이비증권(주),KB증권 제5385호 주가연계파생결합사채,ELB,본,,,AA+,Stable,2020.10.23,2020.10.23,20,,,,채권
한국항공우주산업(주),24,SB,수시,AA-,Negative,AA-,Stable,2020.10.23,2020.10.23,2000,,,,채권
한국항공우주산업(주),25,SB,본,,,AA-,Stable,2020.10.23,2020.10.23,3000,,,,채권
(주)신한은행,제24회-11-이-영구-5-갑(신종),HB,본,,,AA-,Stable,2020.10.22,2020.10.22,3000,,,,채권
교보증권(주),제10823회 외 주가연계파생결합사채,ELB,본,,,A+,Positive,2020.10.22,2020.10.22,,,,,채권
교보증권(주),제857회 기타파생결합사채,DLB,본,,,A+,Positive,2020.10.22,2020.10.22,100 백만USD,,,,채권
삼강엠앤티(주),제 6회 선순위 무보증사채,SB,본,,,BB-,Stable,2020.10.22,2020.10.22,50,,,,채권
중소벤처기업진흥공단,714,SB,본,,,AAA,Stable,2020.10.22,2020.10.22,800,,,,채권
한국중부발전(주),59-2,SB,본,,,AAA,Stable,2020.10.22,2020.10.22,600,,,,채권
흥아해운(주),제18회,CB,수시,CCC↓,,CCC,Stable,2020.10.21,2020.10.21,151.79,,,,채권
(주)포스코건설,57,SB,수시,A,Positive,A+,Stable,2020.10.19,2020.10.20,1100,,,,채권
농협은행(주),농업금융채권(은행)2021-01이1Y-D,SB,본,,,AAA,Stable,2020.10.20,2020.10.20,1800,,,,채권
메리츠증권(주),제2010-3회,SB,본,,,AA-,Stable,2020.10.19,2020.10.20,200,,,,채권
미래에셋증권(주),제1259회 기타파생결합사채,DLB,본,,,AA,Stable,2020.10.20,2020.10.20,30 백만USD,,,,채권
미래에셋증권(주),제2642회 주가연계파생결합사채,ELB,본,,,AA,Stable,2020.10.20,2020.10.20,29.4493,,,,채권
삼성증권(주),제1508회 주가연계파생결합사채,ELB,본,,,AA+,Stable,2020.10.19,2020.10.19,10.12,,,,채권
삼성증권(주),제939회 외 기타파생결합사채,DLB,본,,,AA+,Stable,2020.10.19,2020.10.19,,,,,채권
신영증권(주),제197회 외 주가연계파생결합사채,ELB,본,,,AA-,Stable,2020.10.19,2020.10.19,,,,,채권
신영증권(주),제95회 외 기타파생결합사채,DLB,본,,,AA-,Stable,2020.10.19,2020.10.19,,,,,채권
한국캐피탈(주),446-3,SB,본,,,A-,Positive,2020.10.16,2020.10.19,550,,,,채권
(주)국민은행,국민은행4010이(01)1변-30,SB,본,,,AAA,Stable,2020.10.16,2020.10.16,1500,,,,채권
(주)풀무원,68,HB,본,,,BBB+,Stable,2020.10.15,2020.10.16,500,,,,채권
유진투자증권(주),제250회 기타파생결합사채,DLB,본,,,A,Stable,2020.10.16,2020.10.16,2.713 백만USD,,,,채권
(주)다우기술,3,SB,본,,,A,Stable,2020.10.14,2020.10.15,1500,,,,채권
대신증권(주),제542회 주가연계파생결합사채,ELB,본,,,AA-,Stable,2020.10.15,2020.10.15,28.2328,,,,채권
알씨아이파이낸셜서비스코리아(주),제88-1회,SB,본,,,A+,Stable,2020.10.15,2020.10.15,300,,,,채권
(주)코리아세븐,제16회 무보증사채,SB,본,,,A+,Stable,2020.10.14,2020.10.14,1300,,,,채권
두산인프라코어(주),71,SB,본,,,BBB◆,,2020.10.14,2020.10.14,1300,,,,채권
신한금융투자(주),제21-3회 선순위 무보증사채,SB,본,,,AA,Stable,2020.10.13,2020.10.14,300,,,,채권
하나금융투자(주),제6회 무보증 후순위사채,SB,본,,,AA-,Stable,2020.10.14,2020.10.14,3500,,,,채권
한국해외인프라도시개발지원공사,해외인프라도시개발채권 제1-2회,SB,본,,,AAA,Stable,2020.10.14,2020.10.14,1000,,,,채권
현대위아(주),84,SB,본,,,AA-,Stable,2020.10.14,2020.10.14,1800,,,,채권
현대코퍼레이션(주),40,SB,본,,,A-,Stable,2020.10.13,2020.10.14,500,,,,채권
(주)경남은행,경남은행2020-10이(변)1A-15,SB,본,,,AA+,Stable,2020.10.12,2020.10.13,1000,,,,채권
(주)아이비케이캐피탈,224-2,SB,본,,,AA-,Stable,2020.10.13,2020.10.13,400,,,,채권
메리츠증권(주),제189회 주가연계파생결합사채,ELB,본,,,AA-,Stable,2020.10.13,2020.10.13,8.294 백만USD,,,,채권
메리츠증권(주),제234회 외 기타파생결합사채(DLB),DLB,본,,,AA-,Stable,2020.10.13,2020.10.13,,,,,채권
에스케이실트론(주),제46-2회,SB,본,,,A,Stable,2020.10.12,2020.10.13,280,,,,채권
키움캐피탈(주),제61회,SB,본,,,BBB+,Stable,2020.10.13,2020.10.13,220,,,,채권
농협금융지주(주),28-2,SB,본,,,AAA,Stable,2020.10.08,2020.10.08,2200,,,,채권
미래에셋캐피탈(주),43-2,SB,본,,,AA-,Stable,2020.10.08,2020.10.08,300,,,,채권
엔에이치투자증권(주),제1433회 기타파생결합사채,DLB,본,,,AA+,Stable,2020.10.08,2020.10.08,2.19,,,,채권
엔에이치투자증권(주),제1981회 주가연계파생결합사채,ELB,본,,,AA+,Stable,2020.10.08,2020.10.08,202.4241,,,,채권
한국산업은행,산금21신이0200-0105-1,SB,본,,,AAA,Stable,2020.10.08,2020.10.08,4500,,,,채권
(주)메리츠금융지주,제3회 채권형 신종자본증권,HB,본,,,A+,Stable,2020.10.06,2020.10.07,1000,,,,채권
(주)파라다이스,5,SB,수시,A+,Negative,A,Stable,2020.10.06,2020.10.07,1000,,,,채권
(주)파라다이스,6,SB,본,,,A,Stable,2020.10.06,2020.10.07,1000,,,,채권
(주)화신,20,SB,수시,BBB,Stable,BBB,Negative,2020.10.07,2020.10.07,200,,,,채권
(주)화신,22 (미발행),SB,본,,,BBB,Negative,2020.10.07,2020.10.07,300,,,,채권
롯데렌탈(주),제53-2회,SB,본,,,AA-,Negative,2020.10.07,2020.10.07,700,,,,채권
연합자산관리(주),제 29회,SB,본,,,AA,Negative,2020.10.07,2020.10.07,1800,,,,채권
중소기업은행,기업은행(구조)1610단리20A-06,SB,수시,AAA,Stable,취소,,2020.10.07,2020.10.07,300,,,,채권
하나캐피탈(주),316-4,SB,본,,,AA-,Stable,2020.10.07,2020.10.07,500,,,,채권
현대커머셜(주),388,SB,본,,,AA-,Stable,2020.10.07,2020.10.07,300,,,,채권
(주)서울신문사,12(담보부),SB,본,,,A,Stable,2020.10.05,2020.10.06,100,,,,채권
(주)우리금융지주,우리금융지주 제8회 상각형 조건부자본증권(신종자본증권),HB,본,,,AA-,Stable,2020.10.06,2020.10.06,2000,,,,채권
(주)케이비금융지주,제4-2회 상각형 조건부자본증권(신종자본증권),HB,본,,,AA-,Stable,2020.10.06,2020.10.06,650,,,,채권
JB우리캐피탈(주),410-1,SB,본,,,AA-,Stable,2020.10.06,2020.10.06,600,,,,채권
롯데캐피탈(주),404-2,SB,본,,,AA-,Stable,2020.10.06,2020.10.06,300,,,,채권
KB캐피탈(주),461-3,SB,본,,,AA-,Stable,2020.10.05,2020.10.05,800,,,,채권
경기주택도시공사,경기주택도시공사보상 20-11-07가,SB,본,,,AAA,Stable,2020.10.05,2020.10.05,26.171,,,,채권
케이비증권(주),KB증권 제5073호 기타파생결합사채,DLB,본,,,AA+,Stable,2020.10.05,2020.10.05,2.4707,,,,채권
케이비증권(주),KB증권 제5380호 주가연계파생결합사채,ELB,본,,,AA+,Stable,2020.10.05,2020.10.05,7.8948,,,,채권
한국투자캐피탈(주),52-2,SB,본,,,A,Stable,2020.10.05,2020.10.05,50,,,,채권
한국투자캐피탈(주),제52회 외(한국투자금융지주(주) 권면보증),SB,본,,,AA-,Stable,2020.10.05,2020.10.05,,,,,채권
(주)국민은행,국민은행4010이표일(03)1-14,SB,본,,,AAA,Stable,2020.09.29,2020.09.29,4000,,,,채권
(주)두산,"제292-1회(담보부, 한국자산관리공사 권면보증)",SB,수시,AAA,Stable,취소,,2020.09.29,2020.09.29,300,,,,채권
(주)디아이씨,7(미발행),BW,수시,BB,Stable,취소,,2020.09.29,2020.09.29,250,,,,채권
(주)신한은행,신한은행24-10-복-20-A,SB,본,,,AAA,Stable,2020.09.29,2020.09.29,700,,,,채권
(주)케이비국민카드,316-1,SB,본,,,AA+,Stable,2020.09.29,2020.09.29,500,,,,채권
(주)하나은행,하나은행43-10이0.83갑-19(변),SB,본,,,AAA,Stable,2020.09.29,2020.09.29,1500,,,,채권
동원금속(주),제39회,SB,정기,B+,Stable,B+,Negative,2020.09.29,2020.09.29,30,,,,채권
롯데카드(주),429,SB,본,,,AA-,Stable,2020.09.29,2020.09.29,200,,,,채권
삼성카드(주),2488,SB,본,,,AA+,Stable,2020.09.29,2020.09.29,200,,,,채권
예금보험공사,예보기금특별계정채권2020-5,SB,본,,,AAA,Stable,2020.09.28,2020.09.29,1300,,,,채권
지에스에너지(주),12-2,SB,본,,,AA,Stable,2020.09.29,2020.09.29,900,,,,채권
하나카드(주),190,SB,본,,,AA,Stable,2020.09.28,2020.09.29,600,,,,채권
현대카드(주),814-1,SB,본,,,AA,Stable,2020.09.29,2020.09.29,200,,,,채권
(주)우리은행,우리은행24-10-이표1.5-갑-29,SB,본,,,AAA,Stable,2020.09.28,2020.09.28,2500,,,,채권
(주)우리카드,183-1,SB,본,,,AA,Stable,2020.09.28,2020.09.28,600,,,,채권
(주)웰리브,2,SB,본,,,BB-,Negative,2020.09.28,2020.09.28,100,,,,채권
(주)전북은행,전북은행24-10이03갑-12,SB,본,,,AA+,Stable,2020.09.28,2020.09.28,500,,,,채권
넷마블(주),1,SB,본,,,AA-,Stable,2020.09.28,2020.09.28,1600,,,,채권
산은캐피탈(주),654,SB,본,,,AA-,Stable,2020.09.28,2020.09.28,300,,,,채권
신한카드(주),2095-1,SB,본,,,AA+,Stable,2020.09.28,2020.09.28,700,,,,채권
신한캐피탈(주),430-2,SB,본,,,AA-,Stable,2020.09.28,2020.09.28,500,,,,채권
에스케이텔레콤(주),79-3,SB,본,,,AAA,Stable,2020.09.28,2020.09.28,1100,,,,채권
엔에이치농협캐피탈(주),155,SB,본,,,AA-,Stable,2020.09.28,2020.09.28,600,,,,채권
유진투자증권(주),제270회 주가연계파생결합사채,ELB,본,,,A,Stable,2020.09.28,2020.09.28,18.9,,,,채권
하나금융투자(주),제5081회 기타파생결합사채,DLB,본,,,AA,Stable,2020.09.28,2020.09.28,100,,,,채권
하나금융투자(주),제839회 주가연계파생결합사채,ELB,본,,,AA,Stable,2020.09.28,2020.09.28,9.6546,,,,채권
한국도로공사,744회,SB,본,,,AAA,Stable,2020.09.28,2020.09.28,1800,,,,채권
한국투자증권(주),제1443회 주가연계파생결합사채,ELB,본,,,AA,Stable,2020.09.28,2020.09.28,3,,,,채권
한국투자증권(주),한국투자증권 제151호 기타파생결합사채,DLB,본,,,AA,Stable,2020.09.28,2020.09.28,10 백만USD,,,,채권
(주)티웨이홀딩스,24회,BW,본,,,B-,Negative,2020.09.24,2020.09.25,300,,,,채권
(주)한국스탠다드차타드은행,제20-10회 외,SB,본,,,AAA,Stable,2020.09.25,2020.09.25,,,,,채권
대구도시공사,대구도시공사보상 20-09,SB,본,,,AA+,Stable,2020.09.25,2020.09.25,2.49,,,,채권
메리츠캐피탈(주),170,SB,본,,,A+,Stable,2020.09.25,2020.09.25,300,,,,채권
메리츠캐피탈(주),제168회 외((주)메리츠금융지주 권면보증),SB,본,,,AA,Stable,2020.09.25,2020.09.25,,,,,채권
비엔케이캐피탈(주),223-2,SB,본,,,AA-,Stable,2020.09.25,2020.09.25,100,,,,채권
우리금융캐피탈(주),406-2,SB,본,,,A+,Stable,2020.09.25,2020.09.25,800,,,,채권
현대차증권(주),제800회 주가연계파생결합사채,ELB,본,,,A+,Positive,2020.09.25,2020.09.25,15.512,,,,채권
현대캐피탈(주),1867-2,SB,본,,,AA,Stable,2020.09.25,2020.09.25,200,,,,채권
DB금융투자(주),마이퍼스트 제73회 기타파생결합사채,DLB,본,,,A,Positive,2020.09.24,2020.09.24,10.52,,,,채권
DB금융투자(주),제585회 주가연계파생결합사채,ELB,본,,,A,Positive,2020.09.24,2020.09.24,.49,,,,채권
미래에셋증권(주),제1253회 기타파생결합사채,DLB,본,,,AA,Stable,2020.09.24,2020.09.24,4.7228,,,,채권
미래에셋증권(주),제2629회 주가연계파생결합사채,ELB,본,,,AA,Stable,2020.09.24,2020.09.24,84.4872,,,,채권
(주)에스앤아이코퍼레이션,4,SB,본,,,A+,Stable,2020.09.23,2020.09.23,1100,,,,채권
유안타증권(주),유안타 W 제102호 주가연계파생결합사채,ELB,본,,,A+,Stable,2020.09.23,2020.09.23,33.1,,,,채권
유안타증권(주),제207호 기타파생결합사채,DLB,본,,,A+,Stable,2020.09.23,2020.09.23,1 백만USD,,,,채권
키움증권(주),드림 제136회 주가연계파생결합사채,ELB,본,,,AA-,Stable,2020.09.23,2020.09.23,12.5781,,,,채권
키움증권(주),제127회 기타파생결합사채,DLB,본,,,AA-,Stable,2020.09.23,2020.09.23,1000,,,,채권
(주)캠시스,제16회,SB,본,,,BB,Stable,2020.09.21,2020.09.22,130,,,,채권
교보증권(주),제10819회 주가연계파생결합사채,ELB,본,,,A+,Positive,2020.09.22,2020.09.22,8.5999 백만USD,,,,채권
교보증권(주),제852회 기타파생결합사채,DLB,본,,,A+,Positive,2020.09.22,2020.09.22,9.991 백만USD,,,,채권
농업협동조합중앙회,농금채(중앙회)2020-12이5Y-A,SB,본,,,AAA,Stable,2020.09.22,2020.09.22,4000,,,,채권
이원다이애그노믹스(주),제3회,CB,본,,,B+,Negative,2020.09.22,2020.09.22,600,,,,채권
Nomura International Funding Pte. Ltd.,"제10-2회 무기명식 옵션부 무보증사채 (Nomura Holdings, Inc. 권면보증)",SB,정기,AA+,Negative,AA+,Negative,2020.09.21,2020.09.21,500,,,,채권
넥센타이어(주),54,SB,본,,,A+,Stable,2020.09.18,2020.09.21,1500,,,,채권
삼성증권(주),제1500회 주가연계파생결합사채,ELB,본,,,AA+,Stable,2020.09.21,2020.09.21,20,,,,채권
삼성증권(주),제938회 기타파생결합사채,DLB,본,,,AA+,Stable,2020.09.21,2020.09.21,100 백만USD,,,,채권
알씨아이파이낸셜서비스코리아(주),제86회차,SB,본,,,A+,Stable,2020.09.21,2020.09.21,200,,,,채권
국가철도공단,제350회 국가철도공단채권,SB,본,,,AAA,Stable,2020.09.18,2020.09.18,1100,,,,채권
한국자산관리공사,제44회,SB,본,,,AAA,Stable,2020.09.18,2020.09.18,1600,,,,채권
한국증권금융(주),제 2020-4-1회 무보증사채,SB,본,,,AAA,Stable,2020.09.18,2020.09.18,1000,,,,채권
(주)동원에프앤비,제11회,SB,본,,,A+,Stable,2020.09.15,2020.09.15,600,,,,채권
나래에너지서비스(주),1-2 (에스케이이엔에스㈜ 권면보증),SB,수시,AA+,Stable,AA+,Negative,2020.09.15,2020.09.15,500,,,,채권
메리츠증권(주),제2009-1회,SB,본,,,AA-,Stable,2020.09.14,2020.09.15,1600,,,,채권
삼화페인트공업(주),19(P-CBO),SB,본,,,BBB+,Stable,2020.09.14,2020.09.15,200,,,,채권
수산업협동조합중앙회,수산금융채권(경제)44-10이표48-30호,SB,본,,,AAA,Stable,2020.09.15,2020.09.15,1000,,,,채권
아시아나항공(주),96회,SB,수시,BBB-◆,,BBB-↓,,2020.09.15,2020.09.15,10,,,,채권
에스케이이엔에스(주),제14-4회,SB,수시,AA+,Stable,AA+,Negative,2020.09.14,2020.09.15,1100,,,,채권
에이치디씨현대산업개발(주),제1-2회,SB,수시,A+↓,,A+,Stable,2020.09.15,2020.09.15,700,,,,채권
여주에너지서비스(주),제1-2회(SK E&S 권면보증),SB,수시,AA+,Stable,AA+,Negative,2020.09.15,2020.09.15,700,,,,채권
파주에너지서비스(주),2-3(에스케이이엔에스 권면보증),SB,수시,AA+,Stable,AA+,Negative,2020.09.15,2020.09.15,500,,,,채권
한솔테크닉스(주),제67회,SB,본,,,BBB+,Stable,2020.09.15,2020.09.15,300,,,,채권
메리츠증권(주),제187회 주가연계파생결합사채,ELB,본,,,AA-,Stable,2020.09.11,2020.09.14,15.875 백만USD,,,,채권
메리츠증권(주),제234회 외 기타파생결합사채(DLB),DLB,본,,,AA-,Stable,2020.09.11,2020.09.14,,,,,채권
쌍용씨앤이(주),315,SB,본,,,A-,Positive,2020.09.14,2020.09.14,1500,,,,채권
엔에이치투자증권(주),제61-2회 무보증사채,SB,본,,,AA+,Stable,2020.09.14,2020.09.14,1500,,,,채권
(주)아이비케이캐피탈,221-3,SB,본,,,AA-,Stable,2020.09.10,2020.09.11,200,,,,채권
(주)엘지유플러스,107-2,SB,본,,,AA,Stable,2020.09.11,2020.09.11,1000,,,,채권
JB우리캐피탈(주),408-3,SB,본,,,AA-,Stable,2020.09.11,2020.09.11,200,,,,채권
삼척블루파워(주),제4회,SB,본,,,AA-,Stable,2020.09.11,2020.09.11,1000,,,,채권
신영증권(주),제196회 주가연계파생결합사채,ELB,정기,AA-,Stable,AA-,Stable,2020.09.10,2020.09.11,.01,,,,채권
신영증권(주),제197회 외 주가연계파생결합사채,ELB,본,,,AA-,Stable,2020.09.10,2020.09.11,,,,,채권
신영증권(주),제94회 기타파생결합사채,DLB,정기,AA-,Stable,AA-,Stable,2020.09.10,2020.09.11,199.9941,,,,채권
신영증권(주),제95회 외 기타파생결합사채,DLB,본,,,AA-,Stable,2020.09.10,2020.09.11,,,,,채권
아이비케이투자증권(주),제1242회 주가연계파생결합사채,ELB,본,,,A+,Stable,2020.09.11,2020.09.11,11.81,,,,채권
에스케이브로드밴드(주),50,SB,본,,,AA,Stable,2020.09.10,2020.09.11,1600,,,,채권
키움캐피탈(주),제57-1회,SB,본,,,BBB+,Stable,2020.09.11,2020.09.11,30,,,,채권
디엘에너지(주),제6회,SB,본,,,A-,Positive,2020.09.10,2020.09.10,1000,,,,채권
롯데쇼핑(주),제88-2회,SB,본,,,AA,Negative,2020.09.10,2020.09.10,600,,,,채권
한국공항공사,3회,SB,본,,,AAA,Stable,2020.09.10,2020.09.10,600,,,,채권
대신증권(주),제538회 주가연계파생결합사채,ELB,본,,,AA-,Stable,2020.09.08,2020.09.09,54.3933,,,,채권
씨제이대한통운(주),97회,SB,본,,,AA-,Stable,2020.09.08,2020.09.09,800,,,,채권
하나캐피탈(주),314-3,SB,본,,,AA-,Stable,2020.09.09,2020.09.09,400,,,,채권
대전도시공사,제2020-42회 특수채,SB,본,,,AA+,Stable,2020.09.08,2020.09.08,500,,,,채권
엔에이치투자증권(주),제1430회 기타파생결합사채,DLB,본,,,AA+,Stable,2020.09.08,2020.09.08,10 백만USD,,,,채권
엔에이치투자증권(주),제1974회 주가연계파생결합사채,ELB,본,,,AA+,Stable,2020.09.08,2020.09.08,9.55,,,,채권
키움캐피탈(주),제 54회,SB,본,,,BBB+,Stable,2020.09.08,2020.09.08,100,,,,채권
한국수출입은행,한국수출입금융2012가-이표-1.5,SB,본,,,AAA,Stable,2020.09.08,2020.09.08,3000,,,,채권
(주)대우건설,47,SB,본,,,A-,Stable,2020.09.07,2020.09.07,1000,,,,채권
(주)두산,302,SB,본,,,BBB◆,,2020.09.07,2020.09.07,500,,,,채권
KB캐피탈(주),459-3,SB,본,,,AA-,Stable,2020.09.07,2020.09.07,100,,,,채권
푸본현대생명보험(주),제16회,SB,본,,,A,Stable,2020.09.07,2020.09.07,500,,,,채권
현대커머셜(주),386,SB,본,,,AA-,Stable,2020.09.07,2020.09.07,600,,,,채권
(주)신한금융지주회사,제8회 상각형 조건부자본증권,HB,본,,,AA-,Stable,2020.09.04,2020.09.04,4500,,,,채권
(주)태영건설,67((주)티와이홀딩스 연대보증),SB,수시,A,Stable,A,Stable,2020.09.04,2020.09.04,1400,,,,채권
에스케이매직(주),제4회,SB,수시,A,Stable,A,Positive,2020.09.03,2020.09.04,1200,,,,채권
한국남부발전(주),제55회,SB,본,,,AAA,Stable,2020.09.04,2020.09.04,1000,,,,채권
한국캐피탈(주),444-3,SB,본,,,A-,Positive,2020.09.04,2020.09.04,50,,,,채권
(주)DGB금융지주,DGB금융지주 조건부자본증권(상) 3(신종-영구-5콜),HB,본,,,AA-,Stable,2020.09.02,2020.09.03,500,,,,채권
(주)동원엔터프라이즈,제24회,SB,본,,,A+,Stable,2020.09.02,2020.09.03,500,,,,채권
(주)DGB캐피탈,61-3,SB,수시,A,Positive,A+,Stable,2020.09.02,2020.09.02,500,,,,채권
롯데캐피탈(주),403,SB,본,,,AA-,Stable,2020.09.02,2020.09.02,200,,,,채권
미래에셋캐피탈(주),42,SB,본,,,AA-,Stable,2020.09.02,2020.09.02,300,,,,채권
부산교통공사,제2020-09회,SB,본,,,AAA,Stable,2020.09.01,2020.09.02,300,,,,채권
에스케이이노베이션(주),4-3,SB,본,,,AA+,Negative,2020.09.02,2020.09.02,800,,,,채권
(주)BNK금융지주,제2회 상각형 조건부자본증권,HB,수시,AA-,Stable,취소,,2020.09.01,2020.09.01,1500,,,,채권
