기업명,평정,직전등급,현재등급,등급결정일,등급확정일,결산기준,발행한도(억원),유효기간,요지,재무,보고서,Type
하나카드(주),수시,A1,A1,2018.01.03,2018.01.03,2016.12.31,11000,2018.06.30,,,,전자단기사채
(주)이랜드리테일,정기,A3,A3,2017.12.29,2017.12.29,2016.12.31,1000,2018.06.30,,,,전자단기사채
예금보험공사,정기,A1,A1,2017.12.29,2017.12.29,2016.12.31,8030,2018.06.30,,,,전자단기사채
하나카드(주),정기,A1,A1,2017.12.28,2017.12.29,2016.12.31,11000,2018.06.30,,,,전자단기사채
한국증권금융(주),정기,A1,A1,2017.12.29,2017.12.29,2016.12.31,20000,2018.06.30,,,,전자단기사채
(주)BNK투자증권,정기,A2,A2,2017.12.28,2017.12.28,2016.12.31,3000,2018.06.30,,,,전자단기사채
(주)우리카드,수시,A1,A1,2017.12.28,2017.12.28,2016.12.31,15000,2018.06.30,,,,전자단기사채
(주)이랜드월드,정기,A3,A3,2017.12.28,2017.12.28,2016.12.31,1000,2018.06.30,,,,전자단기사채
대신에프앤아이(주),정기,A2+,A2+,2017.12.28,2017.12.28,2016.12.31,5000,2018.06.30,,,,전자단기사채
메리츠캐피탈(주),정기,A2,A2,2017.12.28,2017.12.28,2016.12.31,4500,2018.06.30,,,,전자단기사채
부국증권(주),정기,A2+,A2+,2017.12.28,2017.12.28,2016.12.31,6000,2018.06.30,,,,전자단기사채
에스케이증권(주),정기,A2+↓,A2+↓,2017.12.28,2017.12.28,2016.12.31,5000,2018.06.30,,,,전자단기사채
케이티비투자증권(주),정기,A2-,A2-,2017.12.28,2017.12.28,2016.12.31,5000,2018.06.30,,,,전자단기사채
한국도로공사,정기,A1,A1,2017.12.28,2017.12.28,2016.12.31,7000,2018.06.30,,,,전자단기사채
한양증권(주),정기,A2,A2,2017.12.28,2017.12.28,2016.12.31,1000,2018.06.30,,,,전자단기사채
(주)한섬,정기,A1,A1,2017.12.27,2017.12.27,2016.12.31,1000,2018.06.30,,,,전자단기사채
(주)현대그린푸드,정기,A1,A1,2017.12.27,2017.12.27,2016.12.31,1000,2018.06.30,,,,전자단기사채
(주)현대백화점,정기,A1,A1,2017.12.27,2017.12.27,2016.12.31,5000,2018.06.30,,,,전자단기사채
(주)현대홈쇼핑,정기,A1,A1,2017.12.27,2017.12.27,2016.12.31,4000,2018.06.30,,,,전자단기사채
롯데지알에스(주),정기,A2+,A2+,2017.12.27,2017.12.27,2016.12.31,250,2018.06.30,,,,전자단기사채
맥쿼리한국인프라투융자회사,정기,A1,A1,2017.12.27,2017.12.27,2016.12.31,600,2018.06.30,,,,전자단기사채
한국토지주택공사,정기,A1,A1,2017.12.27,2017.12.27,2016.12.31,50000,2018.06.30,,,,전자단기사채
한화투자증권(주),정기,A2+,A2+,2017.12.27,2017.12.27,2016.12.31,5000,2018.06.30,,,,전자단기사채
(주)신세계,정기,A1,A1,2017.12.26,2017.12.26,2016.12.31,8000,2018.06.30,,,,전자단기사채
(주)이마트,정기,A1,A1,2017.12.26,2017.12.26,2016.12.31,8000,2018.06.30,,,,전자단기사채
신성통상(주),본,,A3-,2017.12.22,2017.12.22,2017.06.30,150,2018.12.31,,,,전자단기사채
아시아나항공(주),정기,A3,A3-,2017.12.22,2017.12.22,2016.12.31,1500,2018.06.30,,,,전자단기사채
유진기업(주),정기,A3-,A3-,2017.12.21,2017.12.22,2016.12.31,850,2018.06.30,,,,전자단기사채
이베스트투자증권(주),정기,A2+,A2+,2017.12.22,2017.12.22,2016.12.31,2500,2018.06.30,,,,전자단기사채
인천도시공사,정기,A1,A1,2017.12.22,2017.12.22,2016.12.31,21459,2018.06.30,,,,전자단기사채
한국자산관리공사,정기,A1,A1,2017.12.21,2017.12.22,2016.12.31,6300,2018.06.30,,,,전자단기사채
현대일렉트릭앤에너지시스템(주),정기,A2-,A2-,2017.12.22,2017.12.22,2016.12.31,1000,2018.06.30,,,,전자단기사채
에스케이텔링크(주),정기,A2+,A2+,2017.12.21,2017.12.21,2016.12.31,1000,2018.06.30,,,,전자단기사채
중앙일보(주),정기,A3,A3,2017.12.20,2017.12.21,2016.12.31,1000,2018.06.30,,,,전자단기사채
(주)아이비케이캐피탈,정기,A1,A1,2017.12.20,2017.12.20,2016.12.31,15000,2018.06.30,,,,전자단기사채
교보증권(주),정기,A1,A1,2017.12.20,2017.12.20,2016.12.31,7000,2018.06.30,,,,전자단기사채
(주)광주신세계,정기,A1,A1,2017.12.19,2017.12.19,2016.12.31,800,2018.06.30,,,,전자단기사채
엘지이노텍(주),본,,A1,2017.12.19,2017.12.19,2016.12.31,2000,2018.06.30,,,,전자단기사채
오케이캐피탈(주),정기,A3,A3,2017.12.19,2017.12.19,2016.12.31,500,2018.06.30,,,,전자단기사채
(주)케이씨씨,정기,A1,A1,2017.12.15,2017.12.18,2016.12.31,5000,2018.06.30,,,,전자단기사채
DB캐피탈(주),정기,A3,A3,2017.12.18,2017.12.18,2016.12.31,200,2018.06.30,,,,전자단기사채
신한금융투자(주),정기,A1,A1,2017.12.18,2017.12.18,2016.12.31,30000,2018.06.30,,,,전자단기사채
씨제이씨지브이(주),정기,A2+,A2+,2017.12.15,2017.12.18,2016.12.31,1000,2018.06.30,,,,전자단기사채
중소벤처기업진흥공단,정기,A1,A1,2017.12.18,2017.12.18,2016.12.31,10000,2018.06.30,,,,전자단기사채
하나캐피탈(주),정기,A1,A1,2017.12.18,2017.12.18,2016.12.31,10000,2018.06.30,,,,전자단기사채
현대중공업지주(주),수시,A2-,A2-,2017.12.18,2017.12.18,2016.12.31,5000,2018.06.30,,,,전자단기사채
현대차증권(주),정기,A1,A1,2017.12.18,2017.12.18,2016.12.31,6000,2018.06.30,,,,전자단기사채
(주)대원고속((주)신한은행 보증),본,,A1,2017.12.15,2017.12.15,2016.12.31,100,2018.06.30,,,,전자단기사채
미래에셋증권(주),정기,A1,A1,2017.12.15,2017.12.15,2016.12.31,30000,2018.06.30,,,,전자단기사채
미래에셋캐피탈(주),정기,A1,A1,2017.12.15,2017.12.15,2016.12.31,5000,2018.06.30,,,,전자단기사채
(주)현대미포조선,정기,A3+,A3+,2017.12.14,2017.12.14,2016.12.31,3000,2018.06.30,,,,전자단기사채
파르나스호텔(주),정기,A2+,A2+,2017.12.14,2017.12.14,2016.12.31,1000,2018.06.30,,,,전자단기사채
한국남동발전(주),정기,A1,A1,2017.12.14,2017.12.14,2016.12.31,3000,2018.06.30,,,,전자단기사채
현대삼호중공업(주),정기,A3+,A3+,2017.12.14,2017.12.14,2016.12.31,3000,2018.06.30,,,,전자단기사채
현대중공업지주(주),정기,A2-,A2-,2017.12.14,2017.12.14,2016.12.31,5000,2018.06.30,,,,전자단기사채
한화종합화학(주),정기,A2+,A2+,2017.12.13,2017.12.13,2016.12.31,1500,2018.06.30,,,,전자단기사채
현대커머셜(주),정기,A1,A1,2017.12.13,2017.12.13,2016.12.31,5000,2018.06.30,,,,전자단기사채
(주)DGB캐피탈,정기,A2,A2,2017.12.11,2017.12.11,2016.12.31,1000,2018.06.30,,,,전자단기사채
KB캐피탈(주),정기,A1,A1,2017.12.11,2017.12.11,2016.12.31,2000,2018.06.30,,,,전자단기사채
(주)신원,본,,A3,2017.12.08,2017.12.08,2016.12.31,200,2018.06.30,,,,전자단기사채
(주)한화건설,정기,A3+,A3+,2017.12.08,2017.12.08,2016.12.31,3000,2018.06.30,,,,전자단기사채
삼성중공업(주),수시,A2-,A3+↓,2017.12.07,2017.12.08,2016.12.31,8000,2018.06.30,,,,전자단기사채
(주)경농((주)신한은행 보증),정기,A1,A1,2017.12.06,2017.12.06,2016.12.31,200,2018.06.30,,,,전자단기사채
지에스칼텍스(주),정기,A1,A1,2017.12.06,2017.12.06,2016.12.31,8000,2018.06.30,,,,전자단기사채
(주)예스코홀딩스,정기,A1,A1,2017.12.05,2017.12.05,2016.12.31,1000,2018.06.30,,,,전자단기사채
메리츠증권(주),정기,A1,A1,2017.12.05,2017.12.05,2016.12.31,17000,2018.06.30,,,,전자단기사채
한국남부발전(주),정기,A1,A1,2017.12.05,2017.12.05,2016.12.31,3000,2018.06.30,,,,전자단기사채
강원도개발공사,정기,A1,A1,2017.12.01,2017.12.01,2016.12.31,2000,2018.06.30,,,,전자단기사채
대신증권(주),정기,A1,A1,2017.12.01,2017.12.01,2016.12.31,20000,2018.06.30,,,,전자단기사채
아이비케이투자증권(주),정기,A1,A1,2017.12.01,2017.12.01,2016.12.31,5000,2018.06.30,,,,전자단기사채
엔에이치농협캐피탈(주),수시,A2+,A2+,2017.12.01,2017.12.01,2016.12.31,7400,2018.06.30,,,,전자단기사채
유진투자증권(주),정기,A2+,A2+,2017.12.01,2017.12.01,2016.12.31,4500,2018.06.30,,,,전자단기사채
(주)우리카드,정기,A1,A1,2017.11.30,2017.11.30,2016.12.31,15000,2018.06.30,,,,전자단기사채
(주)케이비국민카드,정기,A1,A1,2017.11.30,2017.11.30,2016.12.31,15000,2018.06.30,,,,전자단기사채
롯데카드(주),정기,A1,A1,2017.11.30,2017.11.30,2016.12.31,10000,2018.06.30,,,,전자단기사채
롯데캐피탈(주),정기,A1,A1,2017.11.30,2017.11.30,2016.12.31,10000,2018.06.30,,,,전자단기사채
산은캐피탈(주),정기,A1,A1,2017.11.30,2017.11.30,2016.12.31,5000,2018.06.30,,,,전자단기사채
삼성증권(주),정기,A1,A1,2017.11.30,2017.11.30,2016.12.31,10000,2018.06.30,,,,전자단기사채
삼성카드(주),정기,A1,A1,2017.11.30,2017.11.30,2016.12.31,15000,2018.06.30,,,,전자단기사채
신한캐피탈(주),정기,A1,A1,2017.11.30,2017.11.30,2016.12.31,4000,2018.06.30,,,,전자단기사채
현대카드(주),정기,A1,A1,2017.11.30,2017.11.30,2016.12.31,16000,2018.06.30,,,,전자단기사채
현대캐피탈(주),정기,A1,A1,2017.11.30,2017.11.30,2016.12.31,20000,2018.06.30,,,,전자단기사채
DB금융투자(주),정기,A2+,A2+,2017.11.29,2017.11.29,2016.12.31,5000,2018.06.30,,,,전자단기사채
엔에이치투자증권(주),정기,A1,A1,2017.11.27,2017.11.27,2016.12.31,40000,2018.06.30,,,,전자단기사채
엠캐피탈(주),정기,A2-,A2-,2017.11.27,2017.11.27,2016.12.31,1000,2018.06.30,,,,전자단기사채
유안타증권(주),정기,A2,A2+,2017.11.27,2017.11.27,2016.12.31,10000,2018.06.30,,,,전자단기사채
(주)애큐온캐피탈,정기,A2,A2,2017.11.24,2017.11.24,2016.12.31,8500,2018.06.30,,,,전자단기사채
한국항공우주산업(주),수시,A1↓,A1,2017.11.20,2017.11.20,2016.12.31,3500,2018.06.30,,,,전자단기사채
비엔케이캐피탈(주),정기,A1,A1,2017.11.17,2017.11.17,2016.12.31,1000,2018.06.30,,,,전자단기사채
한국전력공사,정기,A1,A1,2017.11.14,2017.11.14,2016.12.31,44000,2018.06.30,,,,전자단기사채
한국투자증권(주),정기,A1,A1,2017.11.14,2017.11.14,2016.12.31,10000,2018.06.30,,,,전자단기사채
케이비증권(주),정기,A1,A1,2017.11.13,2017.11.13,2016.12.31,20000,2018.06.30,,,,전자단기사채
한국중부발전(주),정기,A1,A1,2017.11.09,2017.11.09,2016.12.31,5000,2018.06.30,,,,전자단기사채
하이투자증권(주),수시,A2+,A2+↑,2017.11.08,2017.11.08,2016.12.31,5000,2018.06.30,,,,전자단기사채
에스케이텔레콤(주),정기,A1,A1,2017.10.30,2017.10.30,2016.12.31,7000,2018.06.30,,,,전자단기사채
한국동서발전(주),정기,A1,A1,2017.10.27,2017.10.27,2016.12.31,5000,2018.06.30,,,,전자단기사채
롯데쇼핑(주),수시,A1,A1,2017.10.24,2017.10.24,2016.12.31,10000,2018.06.30,,,,전자단기사채
(주)케이씨씨건설,정기,A2,A2,2017.10.11,2017.10.11,2016.12.31,1000,2018.06.30,,,,전자단기사채
한국서부발전(주),수시,A1,A1,2017.10.10,2017.10.10,2016.12.31,5000,2018.06.30,,,,전자단기사채
(주)경기고속((주)신한은행 보증),본,,A1,2017.09.28,2017.09.28,2016.12.31,100,2018.06.30,,,,전자단기사채
신영증권(주),본,,A1,2017.09.28,2017.09.28,2017.03.31,7000,2018.09.30,,,,전자단기사채
한국서부발전(주),정기,A1,A1,2017.09.26,2017.09.26,2016.12.31,5000,2018.06.30,,,,전자단기사채
한국항공우주산업(주),본,,A1↓,2017.09.21,2017.09.21,2016.12.31,3500,2018.06.30,,,,전자단기사채
한국지역난방공사,정기,A1,A1,2017.09.20,2017.09.20,2016.12.31,2000,2018.06.30,,,,전자단기사채
쌍용씨앤이(주),정기,A2-,A2-,2017.09.18,2017.09.19,2016.12.31,300,2018.06.30,,,,전자단기사채
신한금융투자(주),수시,A1,A1,2017.09.05,2017.09.05,2016.12.31,30000,2018.06.30,,,,전자단기사채
에스케이에코플랜트(주),정기,A2-,A2-,2017.08.28,2017.08.28,2016.12.31,5000,2018.06.30,,,,전자단기사채
(주)이랜드월드,본,,A3,2017.07.27,2017.07.27,2016.12.31,1000,2018.06.30,,,,전자단기사채
신성통상(주),본,,A3-,2017.07.26,2017.07.26,2016.06.30,100,2017.12.31,,,,전자단기사채
에스케이증권(주),수시,A2+,A2+↓,2017.07.26,2017.07.26,2016.12.31,5000,2018.06.30,,,,전자단기사채
현대일렉트릭앤에너지시스템(주),본,,A2-,2017.07.25,2017.07.25,2016.12.31,1000,2018.06.30,,,,전자단기사채
예금보험공사,본,,A1,2017.07.07,2017.07.07,2016.12.31,8030,2018.06.30,,,,전자단기사채
(주)BNK투자증권,본,,A2,2017.06.30,2017.06.30,2016.12.31,3000,2018.06.30,,,,전자단기사채
(주)한화건설,본,,A3+,2017.06.29,2017.06.30,2016.12.31,3000,2018.06.30,,,,전자단기사채
(주)현대미포조선,본,,A3+,2017.06.29,2017.06.30,2016.12.31,3000,2018.06.30,,,,전자단기사채
DB캐피탈(주),본,,A3,2017.06.30,2017.06.30,2016.12.31,200,2018.06.30,,,,전자단기사채
대신에프앤아이(주),본,,A2+,2017.06.30,2017.06.30,2016.12.31,5000,2018.06.30,,,,전자단기사채
롯데카드(주),본,,A1,2017.06.30,2017.06.30,2016.12.31,10000,2018.06.30,,,,전자단기사채
부국증권(주),본,,A2+,2017.06.30,2017.06.30,2016.12.31,6000,2018.06.30,,,,전자단기사채
삼성증권(주),본,,A1,2017.06.30,2017.06.30,2016.12.31,10000,2018.06.30,,,,전자단기사채
신한캐피탈(주),본,,A1,2017.06.30,2017.06.30,2016.12.31,4000,2018.06.30,,,,전자단기사채
아시아나항공(주),본,,A3,2017.06.29,2017.06.30,2016.12.31,1500,2018.06.30,,,,전자단기사채
에스케이증권(주),본,,A2+,2017.06.30,2017.06.30,2016.12.31,5000,2018.06.30,,,,전자단기사채
에스케이텔링크(주),본,,A2+,2017.06.29,2017.06.30,2016.12.31,1000,2018.06.30,,,,전자단기사채
엔에이치농협캐피탈(주),본,,A2+,2017.06.30,2017.06.30,2016.12.31,7400,2018.06.30,,,,전자단기사채
엠캐피탈(주),본,,A2-,2017.06.30,2017.06.30,2016.12.31,1000,2018.06.30,,,,전자단기사채
오케이캐피탈(주),본,,A3,2017.06.30,2017.06.30,2016.12.31,500,2018.06.30,,,,전자단기사채
중소벤처기업진흥공단,본,,A1,2017.06.30,2017.06.30,2016.12.31,10000,2018.06.30,,,,전자단기사채
하나카드(주),본,,A1,2017.06.30,2017.06.30,2016.12.31,11000,2018.06.30,,,,전자단기사채
한국도로공사,본,,A1,2017.06.30,2017.06.30,2016.12.31,7000,2018.06.30,,,,전자단기사채
한국자산관리공사,본,,A1,2017.06.30,2017.06.30,2016.12.31,6300,2018.06.30,,,,전자단기사채
한국중부발전(주),본,,A1,2017.06.30,2017.06.30,2016.12.31,5000,2018.06.30,,,,전자단기사채
한국증권금융(주),본,,A1,2017.06.30,2017.06.30,2016.12.31,20000,2018.06.30,,,,전자단기사채
현대삼호중공업(주),본,,A3+,2017.06.29,2017.06.30,2016.12.31,3000,2018.06.30,,,,전자단기사채
현대카드(주),본,,A1,2017.06.30,2017.06.30,2016.12.31,16000,2018.06.30,,,,전자단기사채
현대캐피탈(주),본,,A1,2017.06.30,2017.06.30,2016.12.31,20000,2018.06.30,,,,전자단기사채
대신증권(주),본,,A1,2017.06.29,2017.06.29,2016.12.31,20000,2018.06.30,,,,전자단기사채
롯데지알에스(주),본,,A2+,2017.06.29,2017.06.29,2016.12.31,250,2018.06.30,,,,전자단기사채
케이비증권(주),본,,A1,2017.06.29,2017.06.29,2016.12.31,20000,2018.06.30,,,,전자단기사채
(주)애큐온캐피탈,본,,A2,2017.06.28,2017.06.28,2016.12.31,8500,2018.06.30,,,,전자단기사채
(주)한섬,본,,A1,2017.06.28,2017.06.28,2016.12.31,1000,2018.06.30,,,,전자단기사채
(주)현대그린푸드,본,,A1,2017.06.28,2017.06.28,2016.12.31,1000,2018.06.30,,,,전자단기사채
(주)현대백화점,본,,A1,2017.06.28,2017.06.28,2016.12.31,5000,2018.06.30,,,,전자단기사채
(주)현대홈쇼핑,본,,A1,2017.06.28,2017.06.28,2016.12.31,4000,2018.06.30,,,,전자단기사채
한양증권(주),본,,A2,2017.06.28,2017.06.28,2016.12.31,1000,2018.06.30,,,,전자단기사채
(주)케이씨씨,본,,A1,2017.06.27,2017.06.27,2016.12.31,5000,2018.06.30,,,,전자단기사채
엔에이치투자증권(주),본,,A1,2017.06.27,2017.06.27,2016.12.31,40000,2018.06.30,,,,전자단기사채
유안타증권(주),본,,A2,2017.06.27,2017.06.27,2016.12.31,10000,2018.06.30,,,,전자단기사채
한국토지주택공사,본,,A1,2017.06.27,2017.06.27,2016.12.31,50000,2018.06.30,,,,전자단기사채
한국투자증권(주),본,,A1,2017.06.27,2017.06.27,2016.12.31,10000,2018.06.30,,,,전자단기사채
현대차증권(주),본,,A1,2017.06.27,2017.06.27,2016.12.31,6000,2018.06.30,,,,전자단기사채
교보증권(주),본,,A1,2017.06.26,2017.06.26,2016.12.31,7000,2018.06.30,,,,전자단기사채
아이비케이투자증권(주),본,,A1,2017.06.26,2017.06.26,2016.12.31,5000,2018.06.30,,,,전자단기사채
지에스칼텍스(주),본,,A1,2017.06.26,2017.06.26,2016.12.31,8000,2018.06.30,,,,전자단기사채
(주)경기고속((주)신한은행 보증),본,,A1,2017.06.23,2017.06.23,2016.12.31,100,2017.09.25,,,,전자단기사채
(주)신세계,본,,A1,2017.06.23,2017.06.23,2016.12.31,8000,2018.06.30,,,,전자단기사채
(주)이랜드리테일,본,,A3,2017.06.23,2017.06.23,2016.12.31,1000,2018.06.30,,,,전자단기사채
미래에셋증권(주),본,,A1,2017.06.23,2017.06.23,2016.12.31,30000,2018.06.30,,,,전자단기사채
미래에셋캐피탈(주),본,,A1,2017.06.23,2017.06.23,2016.12.31,5000,2018.06.30,,,,전자단기사채
신한금융투자(주),본,,A1,2017.06.23,2017.06.23,2016.12.31,30000,2018.06.30,,,,전자단기사채
이베스트투자증권(주),본,,A2+,2017.06.23,2017.06.23,2016.12.31,2500,2018.06.30,,,,전자단기사채
인천도시공사,본,,A1,2017.06.23,2017.06.23,2016.12.31,21459,2018.06.30,,,,전자단기사채
케이티비투자증권(주),본,,A2-,2017.06.23,2017.06.23,2016.12.31,5000,2018.06.30,,,,전자단기사채
하이투자증권(주),본,,A2+,2017.06.23,2017.06.23,2016.12.31,5000,2018.06.30,,,,전자단기사채
(주)아이비케이캐피탈,본,,A1,2017.06.22,2017.06.22,2016.12.31,15000,2018.06.30,,,,전자단기사채
씨제이씨지브이(주),본,,A2+,2017.06.22,2017.06.22,2016.12.31,1000,2018.06.30,,,,전자단기사채
한화종합화학(주),본,,A2+,2017.06.22,2017.06.22,2016.12.31,1500,2018.06.30,,,,전자단기사채
파르나스호텔(주),본,,A2+,2017.06.21,2017.06.21,2016.12.31,1000,2018.06.30,,,,전자단기사채
한국서부발전(주),본,,A1,2017.06.21,2017.06.21,2016.12.31,5000,2018.06.30,,,,전자단기사채
한국전력공사,본,,A1,2017.06.21,2017.06.21,2016.12.31,44000,2018.06.30,,,,전자단기사채
(주)광주신세계,본,,A1,2017.06.20,2017.06.20,2016.12.31,800,2018.06.30,,,,전자단기사채
한화투자증권(주),본,,A2+,2017.06.20,2017.06.20,2016.12.31,5000,2018.06.30,,,,전자단기사채
한국동서발전(주),본,,A1,2017.06.16,2017.06.16,2016.12.31,5000,2018.06.30,,,,전자단기사채
유진기업(주),본,,A3-,2017.06.14,2017.06.14,2016.12.31,850,2018.06.30,,,,전자단기사채
한국남부발전(주),본,,A1,2017.06.14,2017.06.14,2016.12.31,3000,2018.06.30,,,,전자단기사채
현대커머셜(주),본,,A1,2017.06.14,2017.06.14,2016.12.31,5000,2018.06.30,,,,전자단기사채
중앙일보(주),본,,A3,2017.06.07,2017.06.08,2016.12.31,1000,2018.06.30,,,,전자단기사채
현대중공업지주(주),본,,A2-,2017.06.08,2017.06.08,2016.12.31,5000,2018.06.30,,,,전자단기사채
DB금융투자(주),본,,A2+,2017.06.01,2017.06.01,2016.12.31,5000,2018.06.30,,,,전자단기사채
롯데쇼핑(주),본,,A1,2017.06.01,2017.06.01,2016.12.31,10000,2018.06.30,,,,전자단기사채
쌍용씨앤이(주),수시,A3+,A2-,2017.05.31,2017.06.01,2016.12.31,300,2018.06.30,,,,전자단기사채
(주)우리카드,본,,A1,2017.05.31,2017.05.31,2016.12.31,15000,2018.06.30,,,,전자단기사채
산은캐피탈(주),본,,A1,2017.05.31,2017.05.31,2016.12.31,5000,2018.06.30,,,,전자단기사채
삼성카드(주),본,,A1,2017.05.31,2017.05.31,2016.12.31,15000,2018.06.30,,,,전자단기사채
유진투자증권(주),본,,A2+,2017.05.31,2017.05.31,2016.12.31,4500,2018.06.30,,,,전자단기사채
한국남동발전(주),본,,A1,2017.05.29,2017.05.29,2016.12.31,3000,2018.06.30,,,,전자단기사채
KB캐피탈(주),본,,A1,2017.05.25,2017.05.25,2016.12.31,2000,2018.06.30,,,,전자단기사채
삼성중공업(주),수시,A2-,A2-,2017.05.25,2017.05.25,2016.12.31,8000,2018.06.30,,,,전자단기사채
하나캐피탈(주),본,,A1,2017.05.19,2017.05.19,2016.12.31,10000,2018.06.30,,,,전자단기사채
(주)예스코홀딩스,본,,A1,2017.05.15,2017.05.15,2016.12.31,1000,2018.06.30,,,,전자단기사채
(주)케이씨씨건설,본,,A2,2017.05.15,2017.05.15,2016.12.31,1000,2018.06.30,,,,전자단기사채
(주)DGB캐피탈,본,,A2,2017.05.12,2017.05.12,2016.12.31,1000,2018.06.30,,,,전자단기사채
메리츠캐피탈(주),본,,A2,2017.05.08,2017.05.08,2016.12.31,4500,2018.06.30,,,,전자단기사채
(주)이마트,본,,A1,2017.04.28,2017.04.28,2016.12.31,8000,2018.06.30,,,,전자단기사채
(주)케이비국민카드,본,,A1,2017.04.28,2017.04.28,2016.12.31,15000,2018.06.30,,,,전자단기사채
롯데캐피탈(주),본,,A1,2017.04.28,2017.04.28,2016.12.31,10000,2018.06.30,,,,전자단기사채
비엔케이캐피탈(주),본,,A1,2017.04.28,2017.04.28,2016.12.31,1000,2018.06.30,,,,전자단기사채
맥쿼리한국인프라투융자회사,본,,A1,2017.04.27,2017.04.27,2016.12.31,600,2018.06.30,,,,전자단기사채
(주)경농((주)신한은행 보증),본,,A1,2017.04.25,2017.04.25,2016.12.31,200,2018.06.30,,,,전자단기사채
강원도개발공사,본,,A1,2017.04.25,2017.04.25,2016.12.31,2000,2018.06.30,,,,전자단기사채
쌍용씨앤이(주),수시,,A3+,2017.04.25,2017.04.25,2016.12.31,300,2018.06.30,,,,전자단기사채
쌍용자원개발(주),수시,A3↑,취소,2017.04.25,2017.04.25,2016.12.31,300,2017.06.30,,,,전자단기사채
교보증권(주),수시,A1,A1,2017.04.24,2017.04.24,2016.12.31,7000,2017.06.30,,,,전자단기사채
한국지역난방공사,본,,A1,2017.04.14,2017.04.17,2016.12.31,2000,2018.06.30,,,,전자단기사채
에스케이텔레콤(주),본,,A1,2017.04.12,2017.04.12,2016.12.31,7000,2018.06.30,,,,전자단기사채
메리츠증권(주),본,,A1,2017.04.11,2017.04.11,2016.12.31,17000,2018.06.30,,,,전자단기사채
삼성중공업(주),본,,A2-,2017.04.05,2017.04.06,2016.12.31,8000,2018.06.30,,,,전자단기사채
한국조선해양(주),수시,A2,A2-,2017.04.05,2017.04.06,2016.12.31,5000,2017.06.30,,,,전자단기사채
"한국조선해양(주)(한국조선해양(주),현대건설기계(주),현대중공업지주(주),현대일렉트릭앤에너지시스템(주) 보증)",수시,,A2-,2017.04.05,2017.04.06,2016.12.31,2500,2017.06.30,,,,전자단기사채
현대삼호중공업(주),수시,A2-,A3+,2017.04.05,2017.04.06,2016.12.31,3000,2017.06.30,,,,전자단기사채
에스케이에코플랜트(주),본,,A2-,2017.04.03,2017.04.03,2016.12.31,5000,2018.06.30,,,,전자단기사채
신영증권(주),정기,A1,A1,2017.03.31,2017.03.31,2016.03.31,7000,2017.09.30,,,,전자단기사채
동두천드림파워(주),수시,A2+,A2,2017.03.08,2017.03.08,2015.12.31,600,2017.06.30,,,,전자단기사채
쌍용자원개발(주),수시,A3,A3↑,2017.02.23,2017.02.23,2015.12.31,300,2017.06.30,,,,전자단기사채
한국주택금융공사,수시,A1,A1,2017.02.10,2017.02.10,2015.12.31,5000,2017.06.30,,,,전자단기사채
쌍용자원개발(주),본,,A3,2017.02.07,2017.02.07,2015.12.31,300,2017.06.30,,,,전자단기사채
한국조선해양(주),본,,A2,2017.01.19,2017.01.19,2015.12.31,5000,2017.06.30,,,,전자단기사채
한국자산관리공사,수시,A1,A1,2017.01.18,2017.01.18,2015.12.31,5549,2017.06.30,,,,전자단기사채
KB캐피탈(주),수시,A1,A1,2017.01.02,2017.01.02,2015.12.31,2000,2017.06.30,,,,전자단기사채
(주)BNK투자증권,정기,A2,A2,2016.12.30,2016.12.30,2015.12.31,3000,2017.06.30,,,,전자단기사채
(주)케이비국민카드,수시,A1,A1,2016.12.30,2016.12.30,2015.12.31,15000,2017.06.30,,,,전자단기사채
롯데지알에스(주),정기,A1,A2+,2016.12.29,2016.12.30,2015.12.31,250,2017.06.30,,,,전자단기사채
미래에셋증권(주),수시,A1,취소,2016.12.30,2016.12.30,2015.12.31,30000,2017.06.30,,,,전자단기사채
부국증권(주),정기,A2+,A2+,2016.12.30,2016.12.30,2015.12.31,4000,2017.06.30,,,,전자단기사채
아시아나항공(주),본,,A3,2016.12.30,2016.12.30,2015.12.31,1500,2017.06.30,,,,전자단기사채
케이비투자증권(주),수시,A1,취소,2016.12.30,2016.12.30,2015.12.31,13000,2017.06.30,,,,전자단기사채
한국증권금융(주),정기,A1,A1,2016.12.30,2016.12.30,2015.12.31,20000,2017.06.30,,,,전자단기사채
(주)신세계,정기,A1,A1,2016.12.28,2016.12.29,2015.12.31,8000,2017.06.30,,,,전자단기사채
(주)팜한농,정기,A2,A2,2016.12.29,2016.12.29,2015.12.31,1500,2017.06.30,,,,전자단기사채
롯데쇼핑(주),정기,A1,A1,2016.12.29,2016.12.29,2015.12.31,10000,2017.06.30,,,,전자단기사채
맥쿼리한국인프라투융자회사,정기,A1,A1,2016.12.29,2016.12.29,2015.12.31,600,2017.06.30,,,,전자단기사채
한국주택금융공사,정기,A1,A1,2016.12.29,2016.12.29,2015.12.31,5000,2017.06.30,,,,전자단기사채
(주)우리카드,수시,A1,A1,2016.12.28,2016.12.28,2015.12.31,18000,2017.06.30,,,,전자단기사채
(주)케이씨씨,본,,A1,2016.12.28,2016.12.28,2015.12.31,5000,2017.06.30,,,,전자단기사채
에스케이증권(주),정기,A2+,A2+,2016.12.28,2016.12.28,2015.12.31,5000,2017.06.30,,,,전자단기사채
