기업명,평정,직전등급,현재등급,등급결정일,등급확정일,결산기준,발행한도(억원),유효기간,요지,재무,보고서,Type
한국동서발전(주),본,,A1,2021.06.11,2021.06.11,2020.12.31,5000,2022.06.30,,,,전자단기사채
(주)DGB캐피탈,본,,A2+,2021.06.09,2021.06.10,2020.12.31,3000,2022.06.30,,,,전자단기사채
대신증권(주),본,,A1,2021.06.09,2021.06.10,2020.12.31,20000,2022.06.30,,,,전자단기사채
에스케이브로드밴드(주),본,,A1,2021.06.10,2021.06.10,2020.12.31,2000,2022.06.30,,,,전자단기사채
한국전력공사,본,,A1,2021.06.10,2021.06.10,2020.12.31,44500,2022.06.30,,,,전자단기사채
(주)애큐온캐피탈,본,,A2,2021.06.09,2021.06.09,2020.12.31,8500,2022.06.30,,,,전자단기사채
키움캐피탈(주),본,,A3+,2021.06.09,2021.06.09,2020.12.31,2000,2022.06.30,,,,전자단기사채
한국자산관리공사,본,,A1,2021.06.08,2021.06.09,2020.12.31,6000,2022.06.30,,,,전자단기사채
(주)두산,본,,A3,2021.06.07,2021.06.08,2020.12.31,2000,2022.06.30,,,,전자단기사채
엔에이치투자증권(주),본,,A1,2021.06.07,2021.06.08,2020.12.31,40000,2022.06.30,,,,전자단기사채
한국서부발전(주),본,,A1,2021.06.08,2021.06.08,2020.12.31,5000,2022.06.30,,,,전자단기사채
(주)대원고속((주)신한은행 보증),본,,A1,2021.06.04,2021.06.07,2020.12.31,150,2021.11.08,,,,전자단기사채
(주)대원고속((주)신한은행 보증),본,,A1,2021.06.04,2021.06.07,2020.12.31,50,2021.12.17,,,,전자단기사채
(주)팜한농,본,,A2,2021.06.07,2021.06.07,2020.12.31,1100,2022.06.30,,,,전자단기사채
비엔케이캐피탈(주),본,,A1,2021.06.07,2021.06.07,2020.12.31,1000,2022.06.30,,,,전자단기사채
한국주택금융공사,본,,A1,2021.06.04,2021.06.04,2020.12.31,12000,2022.06.30,,,,전자단기사채
KB캐피탈(주),본,,A1,2021.06.01,2021.06.02,2020.12.31,2000,2022.06.30,,,,전자단기사채
산은캐피탈(주),본,,A1,2021.06.02,2021.06.02,2020.12.31,5000,2022.06.30,,,,전자단기사채
(주)케이비국민카드,본,,A1,2021.05.31,2021.05.31,2020.12.31,21000,2022.06.30,,,,전자단기사채
삼성카드(주),본,,A1,2021.05.31,2021.05.31,2020.12.31,15000,2022.06.30,,,,전자단기사채
신한카드(주),본,,A1,2021.05.31,2021.05.31,2020.12.31,35000,2022.06.30,,,,전자단기사채
하나카드(주),본,,A1,2021.05.31,2021.05.31,2020.12.31,14000,2022.06.30,,,,전자단기사채
현대카드(주),본,,A1,2021.05.28,2021.05.31,2020.12.31,15000,2022.06.30,,,,전자단기사채
(주)한라,본,,A3+,2021.05.27,2021.05.28,2020.12.31,500,2022.06.30,,,,전자단기사채
DB금융투자(주),본,,A1,2021.05.28,2021.05.28,2020.12.31,5000,2022.06.30,,,,전자단기사채
(주)경기고속((주)신한은행 보증),본,,A1,2021.05.26,2021.05.26,2020.12.31,100,2021.09.18,,,,전자단기사채
메리츠캐피탈(주),본,,A2+,2021.05.25,2021.05.25,2020.12.31,4500,2022.06.30,,,,전자단기사채
현대카드(주),수시,A1,A1,2021.05.24,2021.05.24,2019.12.31,15000,2021.06.30,,,,전자단기사채
메리츠증권(주),본,,A1,2021.05.20,2021.05.21,2020.12.31,35000,2022.06.30,,,,전자단기사채
현대로템(주),본,,A3+,2021.05.20,2021.05.20,2020.12.31,5000,2022.06.30,,,,전자단기사채
맥쿼리한국인프라투융자회사,본,,A1,2021.05.13,2021.05.14,2020.12.31,1672,2022.06.30,,,,전자단기사채
(주)대륜이엔에스,본,,A3+,2021.04.30,2021.05.03,2020.12.31,800,2022.06.30,,,,전자단기사채
(주)케이씨씨건설,본,,A2,2021.04.21,2021.04.21,2020.12.31,1000,2022.06.30,,,,전자단기사채
에스케이씨하이테크앤마케팅(주),본,,A3,2021.04.19,2021.04.20,2020.12.31,600,2022.06.30,,,,전자단기사채
(주)한화건설,본,,A2-,2021.04.19,2021.04.19,2020.12.31,3000,2022.06.30,,,,전자단기사채
현대건설기계(주),본,,A2-,2021.04.16,2021.04.19,2020.12.31,500,2022.06.30,,,,전자단기사채
씨제이씨지브이(주),본,,A2-,2021.04.15,2021.04.16,2020.12.31,1000,2022.06.30,,,,전자단기사채
중앙일보(주),본,,A3,2021.04.15,2021.04.16,2020.12.31,1000,2022.06.30,,,,전자단기사채
노무라금융투자(주),정기,A1,A1,2021.04.14,2021.04.14,2020.03.31,2500,2021.09.30,,,,전자단기사채
씨제이제일제당(주),본,,A1,2021.04.14,2021.04.14,2020.12.31,7000,2022.06.30,,,,전자단기사채
한국남부발전(주),본,,A1,2021.04.12,2021.04.12,2020.12.31,5000,2022.06.30,,,,전자단기사채
(주)대우건설,본,,A2-,2021.04.06,2021.04.06,2020.12.31,2000,2022.06.30,,,,전자단기사채
유진기업(주),본,,A3,2021.04.02,2021.04.02,2020.12.31,850,2022.06.30,,,,전자단기사채
(주)이마트,본,,A1,2021.04.01,2021.04.01,2020.12.31,8000,2022.06.30,,,,전자단기사채
아이비케이투자증권(주),본,,A1,2021.04.01,2021.04.01,2020.12.31,5000,2022.06.30,,,,전자단기사채
한국도로공사,본,,A1,2021.03.30,2021.03.30,2020.12.31,6000,2022.06.30,,,,전자단기사채
신영증권(주),정기,A1,A1,2021.03.19,2021.03.19,2020.03.31,7000,2021.09.30,,,,전자단기사채
(주)팜한농,본,,A2,2021.03.11,2021.03.11,2019.12.31,1100,2021.06.30,,,,전자단기사채
(주)휴맥스,본,,A3-,2021.02.25,2021.02.25,2019.12.31,400,2021.06.30,,,,전자단기사채
에스지에이(주),수시,B-,취소,2021.02.18,2021.02.18,2019.12.31,30,2021.06.30,,,,전자단기사채
신성통상(주),수시,A3-,A3-,2021.02.08,2021.02.08,2020.06.30,200,2021.12.31,,,,전자단기사채
(주)BNK투자증권,수시,A2+,A1,2021.02.01,2021.02.02,2019.12.31,10000,2021.06.30,,,,전자단기사채
(주)케이씨씨글라스,본,,A1,2021.01.28,2021.01.29,,3000,2021.06.30,,,,전자단기사채
제이티비씨스튜디오(주),수시,A3,A3,2021.01.28,2021.01.28,2019.12.31,2000,2021.06.30,,,,전자단기사채
한국자산관리공사,수시,A1,A1,2021.01.28,2021.01.28,2019.12.31,6000,2021.06.30,,,,전자단기사채
한국주택금융공사,수시,A1,A1,2021.01.07,2021.01.07,2019.12.31,12000,2021.06.30,,,,전자단기사채
(주)우리카드,정기,A1,A1,2020.12.30,2020.12.31,2019.12.31,29000,2021.06.30,,,,전자단기사채
(주)이랜드리테일,정기,A3+,A3+,2020.12.30,2020.12.31,2019.12.31,1000,2021.06.30,,,,전자단기사채
(주)이랜드월드,정기,A3,A3,2020.12.30,2020.12.31,2019.12.31,1500,2021.06.30,,,,전자단기사채
씨제이포디플렉스(주),정기,A3-,A3-,2020.12.30,2020.12.31,2019.12.31,200,2021.06.30,,,,전자단기사채
제이티비씨(주),정기,A3+,A3+,2020.12.30,2020.12.31,2019.12.31,800,2021.06.30,,,,전자단기사채
파르나스호텔(주),정기,A2+,A2+,2020.12.30,2020.12.31,2019.12.31,1000,2021.06.30,,,,전자단기사채
(주)케이비국민카드,수시,A1,A1,2020.12.30,2020.12.30,2019.12.31,21000,2021.06.30,,,,전자단기사채
(주)현대그린푸드,정기,A1,A1,2020.12.29,2020.12.30,2019.12.31,1000,2021.06.30,,,,전자단기사채
(주)현대백화점,정기,A1,A1,2020.12.29,2020.12.30,2019.12.31,5000,2021.06.30,,,,전자단기사채
(주)현대홈쇼핑,정기,A1,A1,2020.12.29,2020.12.30,2019.12.31,4000,2021.06.30,,,,전자단기사채
롯데지알에스(주),정기,A2,A2,2020.12.30,2020.12.30,2019.12.31,250,2021.06.30,,,,전자단기사채
삼성중공업(주),정기,A3+,A3+,2020.12.29,2020.12.30,2019.12.31,8000,2021.06.30,,,,전자단기사채
엔에이치농협캐피탈(주),수시,A1,A1,2020.12.30,2020.12.30,2019.12.31,9350,2021.06.30,,,,전자단기사채
예금보험공사,정기,A1,A1,2020.12.29,2020.12.30,2019.12.31,13000,2021.06.30,,,,전자단기사채
제이티비씨스튜디오(주),정기,A3,A3,2020.12.29,2020.12.30,2019.12.31,2000,2021.06.30,,,,전자단기사채
한국도로공사,정기,A1,A1,2020.12.30,2020.12.30,2019.12.31,6000,2021.06.30,,,,전자단기사채
(주)두산,정기,A3◆,A3,2020.12.29,2020.12.29,2019.12.31,2000,2021.06.30,,,,전자단기사채
(주)한라,정기,A3,A3,2020.12.29,2020.12.29,2019.12.31,500,2021.06.30,,,,전자단기사채
(주)한화건설,정기,A2-,A2-,2020.12.29,2020.12.29,2019.12.31,3000,2021.06.30,,,,전자단기사채
두산중공업(주),정기,A3-◆,A3-◆,2020.12.29,2020.12.29,2019.12.31,10000,2021.06.30,,,,전자단기사채
(주)광주신세계,정기,A1,A1,2020.12.24,2020.12.28,2019.12.31,800,2021.06.30,,,,전자단기사채
(주)신세계,정기,A1,A1,2020.12.24,2020.12.28,2019.12.31,8000,2021.06.30,,,,전자단기사채
(주)이마트,정기,A1,A1,2020.12.24,2020.12.28,2019.12.31,8000,2021.06.30,,,,전자단기사채
에스지에이(주),정기,B-,B-,2020.12.24,2020.12.28,2019.12.31,30,2021.06.30,,,,전자단기사채
에스케이케미칼(주),정기,A2,A2,2020.12.28,2020.12.28,2019.12.31,500,2021.06.30,,,,전자단기사채
하이투자증권(주),정기,A1,A1,2020.12.28,2020.12.28,2019.12.31,10000,2021.06.30,,,,전자단기사채
(주)신원,수시,A3-,취소,2020.12.24,2020.12.24,2019.12.31,300,2021.06.30,,,,전자단기사채
롯데쇼핑(주),정기,A1,A1,2020.12.23,2020.12.24,2019.12.31,10000,2021.06.30,,,,전자단기사채
롯데하이마트(주),정기,A1,A1,2020.12.24,2020.12.24,2019.12.31,2000,2021.06.30,,,,전자단기사채
에스케이씨하이테크앤마케팅(주),정기,A3,A3,2020.12.24,2020.12.24,2019.12.31,300,2021.06.30,,,,전자단기사채
현대건설기계(주),정기,A2-,A2-,2020.12.23,2020.12.24,2019.12.31,500,2021.06.30,,,,전자단기사채
롯데렌탈(주),정기,A1,A1,2020.12.23,2020.12.23,2019.12.31,1000,2021.06.30,,,,전자단기사채
유진기업(주),정기,A3,A3,2020.12.22,2020.12.23,2019.12.31,850,2021.06.30,,,,전자단기사채
지에스칼텍스(주),정기,A1,A1,2020.12.23,2020.12.23,2019.12.31,8000,2021.06.30,,,,전자단기사채
케이티비네트워크(주),정기,A3+,A3+,2020.12.22,2020.12.23,2019.12.31,150,2021.06.30,,,,전자단기사채
한국수력원자력(주),본,,A1,2020.12.23,2020.12.23,2019.12.31,5000,2021.06.30,,,,전자단기사채
(주)신세계센트럴시티,정기,A1,A1,2020.12.21,2020.12.22,2019.12.31,1000,2021.06.30,,,,전자단기사채
(주)신한금융지주회사,정기,A1,A1,2020.12.22,2020.12.22,2019.12.31,4000,2021.06.30,,,,전자단기사채
한국지역난방공사,정기,A1,A1,2020.12.22,2020.12.22,2019.12.31,3500,2021.06.30,,,,전자단기사채
한양증권(주),정기,A2,A2,2020.12.21,2020.12.22,2019.12.31,2000,2021.06.30,,,,전자단기사채
강원도개발공사,정기,A1,A1,2020.12.17,2020.12.18,2019.12.31,2000,2021.06.30,,,,전자단기사채
효성중공업(주),정기,A2,A2,2020.12.17,2020.12.18,2019.12.31,450,2021.06.30,,,,전자단기사채
(주)케이씨씨건설,정기,A2,A2,2020.12.16,2020.12.17,2019.12.31,1000,2021.06.30,,,,전자단기사채
