기업명,평정,직전등급,직전전망,현재등급,현재전망,등급결정일,등급확정일,유효기간,요지,재무,보고서,Type
(주)하나금융지주,정기,AAA,Stable,AAA,Stable,2018.06.25,2018.06.25,2021.03.17,,,,기업신용평가
(주)한화갤러리아,정기,A-,Stable,A-,Stable,2018.06.25,2018.06.25,2018.09.09,,,,기업신용평가
두산중공업(주),정기,BBB+,Stable,BBB+,Stable,2018.06.25,2018.06.25,2022.05.04,,,,기업신용평가
삼성에스디아이(주),정기,AA,Stable,AA,Stable,2018.06.25,2018.06.25,2020.09.14,,,,기업신용평가
에스케이머티리얼즈(주),정기,A+,Stable,A+,Stable,2018.06.25,2018.06.25,2022.04.10,,,,기업신용평가
이베스트투자증권(주),본,,,A,Stable,2018.06.25,2018.06.25,2019.06.25,,,,기업신용평가
한국관광공사,본,,,AAA,Stable,2018.06.22,2018.06.25,2019.06.25,,,,기업신용평가
현대비앤지스틸(주),정기,A-,Positive,A,Stable,2018.06.25,2018.06.25,2019.02.26,,,,기업신용평가
(주)DGB캐피탈,본,,,A,Stable,2018.06.22,2018.06.22,2019.06.22,,,,기업신용평가
(주)신세계,정기,AA,Stable,AA,Stable,2018.06.22,2018.06.22,2022.07.31,,,,기업신용평가
(주)에프티이앤이,정기,B-↓,,B-↓,,2018.06.22,2018.06.22,2019.06.13,,,,기업신용평가
(주)트레이스,정기,B-↓,,B-↓,,2018.06.22,2018.06.22,2020.06.26,,,,기업신용평가
(주)한화,정기,A,Positive,A,Positive,2018.06.21,2018.06.22,2020.06.08,,,,기업신용평가
대구도시공사,정기,AA+,Stable,AA+,Stable,2018.06.22,2018.06.22,2020.03.31,,,,기업신용평가
부산도시공사,정기,AA+,Stable,AA+,Stable,2018.06.22,2018.06.22,2021.06.16,,,,기업신용평가
인천도시공사,정기,AA+,Stable,AA+,Stable,2018.06.22,2018.06.22,2020.07.10,,,,기업신용평가
코오롱인더스트리(주),정기,A,Stable,A,Stable,2018.06.22,2018.06.22,2020.05.30,,,,기업신용평가
한국광물자원공사,정기,AAA,Stable,AAA,Stable,2018.06.22,2018.06.22,2036.02.18,,,,기업신용평가
한국자산관리공사,정기,AAA,Stable,AAA,Stable,2018.06.22,2018.06.22,2021.11.25,,,,기업신용평가
(주)녹십자,정기,AA-,Stable,AA-,Stable,2018.06.21,2018.06.21,2022.06.09,,,,기업신용평가
(주)다우기술,정기,A,Stable,A,Stable,2018.06.21,2018.06.21,2018.07.30,,,,기업신용평가
롯데엠시시(주),정기,A+,Stable,A+,Stable,2018.06.21,2018.06.21,2018.12.01,,,,기업신용평가
쌍용건설(주),본,,,BBB,Stable,2018.06.20,2018.06.21,2019.06.21,,,,기업신용평가
씨제이이앤엠(주),정기,AA-,Stable,AA-,Stable,2018.06.20,2018.06.21,2022.01.24,,,,기업신용평가
평택에너지서비스(주),정기,A-,Stable,A-,Stable,2018.06.21,2018.06.21,2020.11.27,,,,기업신용평가
한화디펜스(주),정기,AA-,Stable,AA-,Stable,2018.06.21,2018.06.21,2018.07.21,,,,기업신용평가
한화투자증권(주),본,,,A,Positive,2018.06.21,2018.06.21,2019.06.21,,,,기업신용평가
현대차증권(주),정기,A+,Stable,A+,Stable,2018.06.21,2018.06.21,2019.02.26,,,,기업신용평가
휴켐스(주),정기,A+,Stable,A+,Stable,2018.06.21,2018.06.21,2022.08.04,,,,기업신용평가
(주)엘지유플러스,정기,AA,Stable,AA,Stable,2018.06.20,2018.06.20,2026.01.26,,,,기업신용평가
(주)케이티,정기,AAA,Stable,AAA,Stable,2018.06.20,2018.06.20,2036.01.28,,,,기업신용평가
롯데칠성음료(주),정기,AA+,Negative,AA+,Negative,2018.06.19,2018.06.20,2024.04.21,,,,기업신용평가
메리츠캐피탈(주),본,,,A,Positive,2018.06.20,2018.06.20,2019.06.20,,,,기업신용평가
씨제이씨지브이(주),정기,A+,Stable,A+,Stable,2018.06.20,2018.06.20,2020.11.27,,,,기업신용평가
에쓰오일(주),정기,AA+,Stable,AA+,Stable,2018.06.20,2018.06.20,2027.02.22,,,,기업신용평가
하이트진로(주),정기,A,Stable,A,Stable,2018.06.19,2018.06.20,2020.04.14,,,,기업신용평가
(주)에스알,정기,AA+,Stable,AA+,Stable,2018.06.19,2018.06.19,2023.06.28,,,,기업신용평가
(주)케이씨씨,정기,AA,Stable,AA,Stable,2018.06.18,2018.06.19,2020.09.12,,,,기업신용평가
네이버(주),정기,AA,Positive,AA,Positive,2018.06.18,2018.06.19,2018.11.12,,,,기업신용평가
부산주공(주),정기,BB-,Stable,BB-,Stable,2018.06.19,2018.06.19,2020.01.24,,,,기업신용평가
서진산업(주),본,,,BBB-,Stable,2018.06.19,2018.06.19,2019.06.19,,,,기업신용평가
하이트진로홀딩스(주),정기,A-,Stable,A-,Stable,2018.06.19,2018.06.19,2019.07.25,,,,기업신용평가
한화에너지(주),정기,AA-,Stable,AA-,Stable,2018.06.18,2018.06.19,2022.02.16,,,,기업신용평가
(주)두산,정기,A-,Negative,A-,Negative,2018.06.18,2018.06.18,2019.10.29,,,,기업신용평가
기아(주),정기,AA+,Stable,AA+,Stable,2018.06.18,2018.06.18,2024.02.15,,,,기업신용평가
바이온(주),수시,B-,Stable,취소,,2018.06.18,2018.06.18,2019.08.10,,,,기업신용평가
에스케이가스(주),정기,AA-,Stable,AA-,Stable,2018.06.18,2018.06.18,2022.04.17,,,,기업신용평가
에이치솔루션(주),정기,A+,Stable,A+,Stable,2018.06.18,2018.06.18,2019.03.18,,,,기업신용평가
에이프로젠제약(주),정기,B-,Stable,B-,Stable,2018.06.18,2018.06.18,2022.07.04,,,,기업신용평가
현대자동차(주),정기,AAA,Stable,AAA,Stable,2018.06.18,2018.06.18,2018.10.21,,,,기업신용평가
(주)금성백조주택,본,,,BBB-,Stable,2018.06.15,2018.06.15,2019.06.15,,,,기업신용평가
(주)신세계센트럴시티,정기,AA-,Stable,AA-,Stable,2018.06.15,2018.06.15,2021.07.27,,,,기업신용평가
(주)엘아이지,정기,A+,Stable,A+,Stable,2018.06.14,2018.06.15,2018.10.20,,,,기업신용평가
(주)파루,정기,B,Stable,B,Stable,2018.06.14,2018.06.15,2020.10.23,,,,기업신용평가
농업협동조합중앙회,본,,,AAA,Stable,2018.06.15,2018.06.15,2019.06.15,,,,기업신용평가
롯데케미칼(주),정기,AA+,Stable,AA+,Stable,2018.06.15,2018.06.15,2026.04.28,,,,기업신용평가
한국동서발전(주),정기,AAA,Stable,AAA,Stable,2018.06.15,2018.06.15,2027.04.28,,,,기업신용평가
한국산업단지공단,정기,AAA,Stable,AAA,Stable,2018.06.14,2018.06.15,2019.02.18,,,,기업신용평가
화이트코리아(주),정기,B+,Stable,B+,Stable,2018.06.14,2018.06.15,2018.10.17,,,,기업신용평가
화이트코리아산업(주),정기,B,Stable,B,Stable,2018.06.14,2018.06.15,2018.12.11,,,,기업신용평가
경남개발공사,정기,AA+,Stable,AA+,Stable,2018.06.14,2018.06.14,2018.06.16,,,,기업신용평가
경상북도개발공사,정기,AA+,Stable,AA+,Stable,2018.06.14,2018.06.14,2019.05.31,,,,기업신용평가
동화기업(주),정기,A-,Stable,A-,Stable,2018.06.14,2018.06.14,2019.03.02,,,,기업신용평가
수산업협동조합중앙회,본,,,AAA,Stable,2018.06.14,2018.06.14,2019.06.14,,,,기업신용평가
하이호경금속(주),정기,BB,Stable,BB,Stable,2018.06.12,2018.06.14,2018.11.24,,,,기업신용평가
한국남동발전(주),정기,AAA,Stable,AAA,Stable,2018.06.14,2018.06.14,2034.12.15,,,,기업신용평가
(주)노루페인트,정기,A-,Stable,A-,Stable,2018.06.12,2018.06.12,2021.06.09,,,,기업신용평가
(주)휴비스,정기,A-,Stable,A-,Stable,2018.06.12,2018.06.12,2019.11.20,,,,기업신용평가
경기주택도시공사,정기,AAA,Stable,AAA,Stable,2018.06.12,2018.06.12,2020.01.31,,,,기업신용평가
금호석유화학(주),정기,A-,Stable,A-,Positive,2018.06.12,2018.06.12,2019.11.03,,,,기업신용평가
금호피앤비화학(주),정기,BBB+,Stable,BBB+,Positive,2018.06.12,2018.06.12,2019.05.17,,,,기업신용평가
부산항만공사,정기,AAA,Stable,AAA,Stable,2018.06.12,2018.06.12,2036.09.06,,,,기업신용평가
에이치디씨현대산업개발(주),본,,,A+,Stable,2018.06.12,2018.06.12,2019.06.12,,,,기업신용평가
여수광양항만공사,정기,AAA,Stable,AAA,Stable,2018.06.12,2018.06.12,2023.03.13,,,,기업신용평가
울산항만공사,정기,AAA,Stable,AAA,Stable,2018.06.12,2018.06.12,2026.11.15,,,,기업신용평가
인천항만공사,정기,AAA,Stable,AAA,Stable,2018.06.12,2018.06.12,2033.10.23,,,,기업신용평가
충청남도개발공사,정기,AA+,Stable,AA+,Stable,2018.06.12,2018.06.12,2019.12.31,,,,기업신용평가
한국전력기술(주),정기,AA,Stable,AA,Stable,2018.06.12,2018.06.12,2022.06.15,,,,기업신용평가
(주)LF,정기,AA-,Stable,AA-,Stable,2018.06.11,2018.06.11,2021.12.05,,,,기업신용평가
(주)광주은행,본,,,AA+,Stable,2018.06.11,2018.06.11,2019.06.11,,,,기업신용평가
(주)엘지생활건강,정기,AA+,Stable,AA+,Stable,2018.06.08,2018.06.11,2020.02.06,,,,기업신용평가
(주)한독,정기,BBB+,Stable,BBB+,Stable,2018.06.08,2018.06.11,2019.11.29,,,,기업신용평가
지에스이피에스(주),정기,AA-,Stable,AA-,Stable,2018.06.11,2018.06.11,2022.02.22,,,,기업신용평가
한국중부발전(주),정기,AAA,Stable,AAA,Stable,2018.06.11,2018.06.11,2037.08.03,,,,기업신용평가
(주)에이치에스애드,정기,A,Stable,A,Stable,2018.06.08,2018.06.08,2020.02.24,,,,기업신용평가
(주)엔씨소프트,정기,AA-,Stable,AA-,Positive,2018.06.07,2018.06.08,2019.01.29,,,,기업신용평가
HSD엔진(주),정기,BBB+↓,,BBB,Negative,2018.06.08,2018.06.08,2019.04.15,,,,기업신용평가
넥센타이어(주),정기,A+,Stable,A+,Stable,2018.06.08,2018.06.08,2019.07.04,,,,기업신용평가
대신에프앤아이(주),수시,A+↓,,A,Stable,2018.06.08,2018.06.08,2018.06.22,,,,기업신용평가
신세계건설(주),수시,A-,Stable,취소,,2018.06.08,2018.06.08,2047.06.23,,,,기업신용평가
우리금융캐피탈(주),수시,A,Stable,A,Positive,2018.06.08,2018.06.08,2019.04.09,,,,기업신용평가
한국수출입은행,본,,,AAA,Stable,2018.06.08,2018.06.08,2019.06.08,,,,기업신용평가
한화글로벌에셋(주),정기,BBB+,Stable,BBB+,Stable,2018.06.08,2018.06.08,2018.08.27,,,,기업신용평가
한화토탈(주),정기,AA-,Positive,AA,Stable,2018.06.08,2018.06.08,2022.04.27,,,,기업신용평가
아이원스(주),정기,BB-,Stable,BB-,Stable,2018.06.07,2018.06.07,2019.01.21,,,,기업신용평가
한화호텔앤드리조트(주),정기,BBB+,Stable,BBB+,Stable,2018.06.07,2018.06.07,2018.08.24,,,,기업신용평가
현대오일뱅크(주),정기,AA-,Stable,AA-,Stable,2018.06.07,2018.06.07,2024.07.07,,,,기업신용평가
서울주택도시공사,정기,AAA,Stable,AAA,Stable,2018.06.05,2018.06.05,2020.06.25,,,,기업신용평가
(주)만도,정기,AA-,Stable,AA-,Stable,2018.06.04,2018.06.04,2020.04.24,,,,기업신용평가
(주)세아제강지주,정기,A+,Stable,A+,Stable,2018.06.04,2018.06.04,2019.10.07,,,,기업신용평가
(주)세아특수강,정기,A-,Stable,A-,Stable,2018.06.04,2018.06.04,2018.07.08,,,,기업신용평가
(주)한라홀딩스,정기,A,Stable,A,Stable,2018.06.04,2018.06.04,2021.03.04,,,,기업신용평가
동국산업(주),정기,BBB+,Stable,BBB+,Stable,2018.06.04,2018.06.04,2018.12.26,,,,기업신용평가
(주)서울제약,정기,BB-,Positive,BB-,Positive,2018.05.31,2018.06.01,2019.04.28,,,,기업신용평가
(주)오뚜기,정기,AA,Stable,AA,Stable,2018.06.01,2018.06.01,2018.11.30,,,,기업신용평가
DB금융투자(주),본,,,A,Stable,2018.06.01,2018.06.01,2019.06.01,,,,기업신용평가
대보유통(주),정기,BBB,Stable,BBB,Stable,2018.06.01,2018.06.01,2019.06.28,,,,기업신용평가
롯데컬처웍스(주),본,,,A+,Stable,2018.06.01,2018.06.01,2019.06.01,,,,기업신용평가
에스케이브로드밴드(주),정기,AA-,Stable,AA-,Stable,2018.06.01,2018.06.01,2022.02.03,,,,기업신용평가
전남개발공사,정기,AA+,Stable,AA+,Stable,2018.06.01,2018.06.01,2019.07.17,,,,기업신용평가
태평양물산(주),정기,BB+,Negative,BB+,Stable,2018.06.01,2018.06.01,2019.05.25,,,,기업신용평가
한국남부발전(주),정기,AAA,Stable,AAA,Stable,2018.06.01,2018.06.01,2037.07.07,,,,기업신용평가
한화에스앤씨(주),수시,A,Stable,A↑,,2018.06.01,2018.06.01,2018.11.28,,,,기업신용평가
(주)엘엑스인터내셔널,정기,AA-,Stable,AA-,Stable,2018.05.30,2018.05.31,2022.05.28,,,,기업신용평가
(주)한화갤러리아타임월드,정기,A-,Negative,A-,Negative,2018.05.31,2018.05.31,2018.09.15,,,,기업신용평가
롯데하이마트(주),정기,AA-,Stable,AA-,Stable,2018.05.31,2018.05.31,2022.10.28,,,,기업신용평가
시앤디(주),수시,CCC,Stable,취소,,2018.05.31,2018.05.31,2018.09.28,,,,기업신용평가
한국캐피탈(주),정기,A-,Stable,A-,Stable,2018.05.31,2018.05.31,2019.07.24,,,,기업신용평가
현대캐피탈(주),본,,,AA+,Stable,2018.05.31,2018.05.31,2019.05.31,,,,기업신용평가
중소기업은행,본,,,AAA,Stable,2018.05.30,2018.05.30,2019.05.30,,,,기업신용평가
현대트랜시스(주),정기,A+,Positive,A+,Positive,2018.05.30,2018.05.30,2022.02.28,,,,기업신용평가
(주)서울신문사,정기,BBB+,Stable,BBB+,Stable,2018.05.28,2018.05.28,2020.01.23,,,,기업신용평가
두산건설(주),정기,BB+,Negative,BB,Stable,2018.05.25,2018.05.25,2020.03.21,,,,기업신용평가
두산인프라코어(주),정기,BBB,Stable,BBB,Stable,2018.05.25,2018.05.25,2022.08.01,,,,기업신용평가
씨제이대한통운(주),정기,AA-,Stable,AA-,Stable,2018.05.25,2018.05.25,2023.09.12,,,,기업신용평가
에스케이(주),정기,AA+,Stable,AA+,Stable,2018.05.25,2018.05.25,2026.06.01,,,,기업신용평가
울산광역시도시공사,정기,AA+,Stable,AA+,Stable,2018.05.25,2018.05.25,2020.04.30,,,,기업신용평가
유안타증권(주),정기,A,Positive,A+,Stable,2018.05.25,2018.05.25,2018.06.28,,,,기업신용평가
전북개발공사,정기,AA+,Stable,AA+,Stable,2018.05.25,2018.05.25,2019.06.30,,,,기업신용평가
태광실업(주),정기,A,Stable,A,Positive,2018.05.25,2018.05.25,2022.06.29,,,,기업신용평가
현대커머셜(주),본,,,AA-,Stable,2018.05.25,2018.05.25,2019.05.25,,,,기업신용평가
(주)DGB금융지주,본,,,AAA,Stable,2018.05.24,2018.05.24,2019.05.24,,,,기업신용평가
현대로템(주),정기,A,Stable,A,Stable,2018.05.23,2018.05.24,2022.01.20,,,,기업신용평가
(주)반도건설,본,,,BBB+,Stable,2018.05.23,2018.05.23,2019.05.23,,,,기업신용평가
대한토지신탁(주),정기,A-,Stable,A-,Stable,2018.05.23,2018.05.23,2019.01.17,,,,기업신용평가
엠캐피탈(주),본,,,A-,Stable,2018.05.23,2018.05.23,2019.05.23,,,,기업신용평가
천경해운(주),정기,BB,Stable,BB,Stable,2018.05.23,2018.05.23,2018.10.27,,,,기업신용평가
현대글로비스(주),수시,AA↑,,AA,Stable,2018.05.23,2018.05.23,2018.10.27,,,,기업신용평가
(주)포스코인터내셔널,정기,AA-,Stable,AA-,Stable,2018.05.18,2018.05.21,2022.07.17,,,,기업신용평가
(주)BNK금융지주,본,,,AAA,Stable,2018.05.18,2018.05.18,2019.05.18,,,,기업신용평가
수협은행,본,,,AAA,Stable,2018.05.18,2018.05.18,2019.05.18,,,,기업신용평가
신영증권(주),본,,,AA-,Stable,2018.05.18,2018.05.18,2019.05.18,,,,기업신용평가
하나금융투자(주),정기,AA,Stable,AA,Stable,2018.05.18,2018.05.18,2018.06.16,,,,기업신용평가
(주)세아홀딩스,정기,A,Stable,A,Stable,2018.05.17,2018.05.17,2018.06.04,,,,기업신용평가
(주)원익홀딩스,본,,,A-,Stable,2018.05.16,2018.05.17,2019.05.17,,,,기업신용평가
롯데쇼핑(주),정기,AA+,Negative,AA+,Negative,2018.05.17,2018.05.17,2043.11.08,,,,기업신용평가
에이치디씨(주),수시,A+,Stable,취소,,2018.05.17,2018.05.17,2022.07.17,,,,기업신용평가
엘지디스플레이(주),정기,AA,Stable,AA,Negative,2018.05.16,2018.05.17,2022.06.02,,,,기업신용평가
현대코퍼레이션(주),본,,,A-,Stable,2018.05.15,2018.05.16,2019.05.16,,,,기업신용평가
(주)엘지하우시스,정기,AA-,Stable,AA-,Stable,2018.05.14,2018.05.15,2022.05.26,,,,기업신용평가
(주)포스코케미칼,정기,AA-,Stable,AA-,Stable,2018.05.15,2018.05.15,2018.11.24,,,,기업신용평가
석도국제훼리(주),수시,BB-,Stable,취소,,2018.05.15,2018.05.15,2018.07.17,,,,기업신용평가
(주)동원엔터프라이즈,정기,A+,Stable,A+,Stable,2018.05.14,2018.05.14,2020.09.17,,,,기업신용평가
(주)신원,정기,BBB,Stable,BBB,Negative,2018.05.14,2018.05.14,2019.06.22,,,,기업신용평가
(주)풀무원,정기,A-,Stable,A-,Stable,2018.05.14,2018.05.14,2019.10.14,,,,기업신용평가
깨끗한나라(주),정기,BBB+,Stable,BBB+,Negative,2018.05.14,2018.05.14,2018.05.23,,,,기업신용평가
동원산업(주),정기,AA-,Stable,AA-,Stable,2018.05.14,2018.05.14,2021.10.28,,,,기업신용평가
오일허브코리아여수(주),정기,A+,Stable,A+,Stable,2018.05.14,2018.05.14,2021.03.16,,,,기업신용평가
현대스틸산업(주),정기,A,Stable,A,Stable,2018.05.14,2018.05.14,2020.06.17,,,,기업신용평가
(주)영원무역,정기,AA-,Stable,AA-,Stable,2018.05.11,2018.05.11,2020.05.21,,,,기업신용평가
(주)지에스이앤알,정기,A+,Stable,A+,Stable,2018.05.11,2018.05.11,2020.06.04,,,,기업신용평가
(주)지투하이소닉,정기,B,Stable,B,Stable,2018.05.11,2018.05.11,2021.05.19,,,,기업신용평가
광동제약(주),정기,A,Stable,A,Stable,2018.05.10,2018.05.11,2018.07.13,,,,기업신용평가
농협금융지주(주),정기,AAA,Stable,AAA,Stable,2018.05.11,2018.05.11,2018.07.29,,,,기업신용평가
삼성엔지니어링(주),본,,,BBB+,Stable,2018.05.10,2018.05.11,2019.05.11,,,,기업신용평가
삼화페인트공업(주),정기,A-,Stable,A-,Stable,2018.05.10,2018.05.11,2021.03.31,,,,기업신용평가
중국건설은행서울지점,본,,,AAA,Stable,2018.05.11,2018.05.11,2019.05.11,,,,기업신용평가
한국비티엘인프라투융자회사,본,,,AA+,Stable,2018.05.11,2018.05.11,2019.05.11,,,,기업신용평가
한국철도공사,정기,AAA,Stable,AAA,Stable,2018.05.11,2018.05.11,2046.11.23,,,,기업신용평가
롯데글로벌로지스(주),정기,A-,Stable,A-,Stable,2018.05.10,2018.05.10,2020.03.03,,,,기업신용평가
롯데정밀화학(주),정기,A+,Stable,A+,Positive,2018.05.10,2018.05.10,2020.06.08,,,,기업신용평가
한국농어촌공사,정기,AAA,Stable,AAA,Stable,2018.05.10,2018.05.10,2022.06.22,,,,기업신용평가
한전케이피에스(주),정기,AA,Stable,AA,Stable,2018.05.10,2018.05.10,2018.10.13,,,,기업신용평가
대전도시공사,정기,AA+,Stable,AA+,Stable,2018.05.09,2018.05.09,2019.08.03,,,,기업신용평가
성창이엔씨(주),정기,BB,Negative,BB,Stable,2018.05.08,2018.05.08,2018.06.05,,,,기업신용평가
씨제이프레시웨이(주),정기,A,Stable,A,Stable,2018.05.08,2018.05.08,2020.01.25,,,,기업신용평가
(주)위니아딤채,본,,,BBB-,Stable,2018.05.04,2018.05.04,2019.05.04,,,,기업신용평가
현대건설(주),정기,AA-,Stable,AA-,Stable,2018.05.04,2018.05.04,2023.11.08,,,,기업신용평가
(주)농심홀딩스,정기,AA,Stable,AA,Stable,2018.05.03,2018.05.03,2020.02.20,,,,기업신용평가
(주)삼양홀딩스,정기,AA-,Stable,AA-,Stable,2018.05.02,2018.05.03,2019.06.11,,,,기업신용평가
한국수자원공사,정기,AAA,Stable,AAA,Stable,2018.05.02,2018.05.03,2046.06.22,,,,기업신용평가
(주)이마트,정기,AA+,Stable,AA+,Stable,2018.05.02,2018.05.02,2022.01.10,,,,기업신용평가
(주)이수화학,정기,BBB-,Stable,BBB-,Stable,2018.05.02,2018.05.02,2018.12.27,,,,기업신용평가
(주)파라다이스글로벌,본,,,A+,Stable,2018.05.02,2018.05.02,2019.05.02,,,,기업신용평가
(주)우리카드,본,,,AA,Stable,2018.04.30,2018.04.30,2019.04.30,,,,기업신용평가
롯데카드(주),본,,,AA,Negative,2018.04.30,2018.04.30,2019.04.30,,,,기업신용평가
롯데캐피탈(주),본,,,AA-,Stable,2018.04.30,2018.04.30,2019.04.30,,,,기업신용평가
삼성카드(주),정기,AA+,Stable,AA+,Stable,2018.04.30,2018.04.30,2026.03.10,,,,기업신용평가
신한카드(주),본,,,AA+,Stable,2018.04.30,2018.04.30,2019.04.30,,,,기업신용평가
신한캐피탈(주),본,,,AA-,Stable,2018.04.30,2018.04.30,2019.04.30,,,,기업신용평가
아이엔지은행서울지점,본,,,AAA,Stable,2018.04.30,2018.04.30,2019.04.30,,,,기업신용평가
중국광대은행주식유한회사 서울지점,본,,,AA+,Stable,2018.04.30,2018.04.30,2019.04.30,,,,기업신용평가
한국토지주택공사,정기,AAA,Stable,AAA,Stable,2018.04.30,2018.04.30,2034.01.28,,,,기업신용평가
현대카드(주),본,,,AA+,Stable,2018.04.30,2018.04.30,2019.04.30,,,,기업신용평가
(주)효성,수시,A+,Stable,취소,,2018.04.26,2018.04.27,2021.12.28,,,,기업신용평가
에스케이하이닉스(주),정기,AA-,Positive,AA,Stable,2018.04.26,2018.04.26,2023.02.19,,,,기업신용평가
엘아이지넥스원(주),정기,AA-,Stable,AA-,Stable,2018.04.26,2018.04.26,2020.06.09,,,,기업신용평가
엘에스엠트론(주),정기,A+,Negative,A,Stable,2018.04.25,2018.04.26,2020.04.17,,,,기업신용평가
강원도개발공사,정기,AA+,Stable,AA+,Stable,2018.04.25,2018.04.25,2019.05.22,,,,기업신용평가
중소벤처기업진흥공단,본,,,AAA,Stable,2018.04.25,2018.04.25,2019.04.25,,,,기업신용평가
지에스파워(주),정기,AA,Stable,AA,Stable,2018.04.24,2018.04.24,2026.05.25,,,,기업신용평가
(주)삼천리,정기,AA+,Stable,AA+,Stable,2018.04.23,2018.04.23,2021.05.27,,,,기업신용평가
농협은행(주),본,,,AAA,Stable,2018.04.23,2018.04.23,2019.04.23,,,,기업신용평가
하나캐피탈(주),본,,,AA-,Stable,2018.04.23,2018.04.23,2019.04.23,,,,기업신용평가
한국콜마(주),정기,A↓,,A-,Stable,2018.04.23,2018.04.23,2021.06.19,,,,기업신용평가
롯데렌탈(주),정기,AA-,Stable,AA-,Stable,2018.04.20,2018.04.20,2022.05.31,,,,기업신용평가
에스케이종합화학(주),정기,AA,Stable,AA,Stable,2018.04.19,2018.04.19,2022.10.25,,,,기업신용평가
한국수력원자력(주),정기,AAA,Stable,AAA,Stable,2018.04.19,2018.04.19,2040.12.10,,,,기업신용평가
(주)포스코건설,정기,A,Stable,A,Stable,2018.04.18,2018.04.18,2019.03.13,,,,기업신용평가
인천국제공항공사,정기,AAA,Stable,AAA,Stable,2018.04.18,2018.04.18,2023.04.21,,,,기업신용평가
한국서부발전(주),정기,AAA,Stable,AAA,Stable,2018.04.18,2018.04.18,2037.07.21,,,,기업신용평가
한국전력공사,정기,AAA,Stable,AAA,Stable,2018.04.18,2018.04.18,2029.08.27,,,,기업신용평가
비엔케이캐피탈(주),본,,,AA-,Stable,2018.04.17,2018.04.17,2019.04.17,,,,기업신용평가
에스케이네트웍스(주),본,,,AA-,Stable,2018.04.17,2018.04.17,2019.04.17,,,,기업신용평가
(주)한화건설,정기,BBB+,Stable,BBB+,Stable,2018.04.13,2018.04.16,2021.06.03,,,,기업신용평가
에스케이텔레콤(주),정기,AAA,Stable,AAA,Stable,2018.04.16,2018.04.16,2036.03.04,,,,기업신용평가
(주)메타랩스,정기,B,Stable,B,Negative,2018.04.13,2018.04.13,2019.12.27,,,,기업신용평가
한국조선해양(주),정기,A-,Negative,A-,Negative,2018.04.12,2018.04.13,2044.12.15,,,,기업신용평가
현대삼호중공업(주),정기,BBB+,Negative,BBB+,Negative,2018.04.12,2018.04.13,2018.04.22,,,,기업신용평가
(주)부산은행,본,,,AAA,Stable,2018.04.12,2018.04.12,2019.04.12,,,,기업신용평가
(주)현대케피코,정기,A+,Stable,A+,Stable,2018.04.11,2018.04.12,2020.11.03,,,,기업신용평가
KB캐피탈(주),본,,,AA-,Stable,2018.04.12,2018.04.12,2019.04.12,,,,기업신용평가
에스케이에너지(주),정기,AA+,Stable,AA+,Stable,2018.04.12,2018.04.12,2025.06.25,,,,기업신용평가
(주)엘지씨엔에스,정기,AA-,Stable,AA-,Stable,2018.04.11,2018.04.11,2022.04.16,,,,기업신용평가
(주)풍산,정기,A,Stable,A,Positive,2018.04.10,2018.04.11,2020.04.25,,,,기업신용평가
메리츠증권(주),본,,,AA-,Stable,2018.04.11,2018.04.11,2019.04.11,,,,기업신용평가
엘지엔시스(주),수시,A+↑,,취소,,2018.04.11,2018.04.11,2020.05.29,,,,기업신용평가
한솔제지(주),정기,A,Stable,A,Stable,2018.04.10,2018.04.11,2020.06.09,,,,기업신용평가
중앙일보(주),정기,BBB,Stable,BBB,Stable,2018.04.09,2018.04.10,2019.07.26,,,,기업신용평가
한국산업은행,본,,,AAA,Stable,2018.04.10,2018.04.10,2019.04.10,,,,기업신용평가
(주)아이비케이캐피탈,본,,,AA-,Stable,2018.04.09,2018.04.09,2019.04.09,,,,기업신용평가
(주)전북은행,본,,,AA+,Stable,2018.04.09,2018.04.09,2019.04.09,,,,기업신용평가
우리금융캐피탈(주),본,,,A,Stable,2018.04.09,2018.04.09,2019.04.09,,,,기업신용평가
(주)대우건설,본,,,A-,Stable,2018.04.06,2018.04.06,2019.04.06,,,,기업신용평가
맥쿼리한국인프라투융자회사,본,,,AA,Stable,2018.04.06,2018.04.06,2019.04.06,,,,기업신용평가
(주)대구은행,본,,,AAA,Stable,2018.04.05,2018.04.05,2019.04.05,,,,기업신용평가
(주)신한은행,본,,,AAA,Stable,2018.04.05,2018.04.05,2019.04.05,,,,기업신용평가
(주)우리은행,본,,,AAA,Stable,2018.04.05,2018.04.05,2019.04.05,,,,기업신용평가
(주)케이비금융지주,본,,,AAA,Stable,2018.04.05,2018.04.05,2019.04.05,,,,기업신용평가
(주)한국씨티은행,정기,AAA,Stable,AAA,Stable,2018.04.05,2018.04.05,2036.08.01,,,,기업신용평가
국가철도공단,정기,AAA,Stable,AAA,Stable,2018.04.05,2018.04.05,2047.03.20,,,,기업신용평가
에스케이네트웍스(주),정기,AA-,Stable,AA-,Stable,2018.04.04,2018.04.05,2018.04.16,,,,기업신용평가
한화솔루션(주),정기,A+,Positive,A+,Positive,2018.04.04,2018.04.05,2021.02.24,,,,기업신용평가
한화에어로스페이스(주),정기,AA-,Stable,AA-,Stable,2018.04.05,2018.04.05,2021.06.22,,,,기업신용평가
(주)국민은행,본,,,AAA,Stable,2018.04.04,2018.04.04,2019.04.04,,,,기업신용평가
