기업명,평정,직전등급,직전전망,현재등급,현재전망,등급결정일,등급확정일,유효기간,요지,재무,보고서,Type
(주)엔스퍼트,본,,,B,Stable,2010.06.08,2010.06.08,2013.11.30,,,,기업신용평가
디엘건설(주),본,,,BB+,Stable,2010.06.08,2010.06.08,2011.06.08,,,,기업신용평가
아이에스동서(주),본,,,BBB,Stable,2010.06.08,2010.06.08,2011.06.08,,,,기업신용평가
(주)풀무원,정기,A-,Stable,A-,Stable,2010.06.07,2010.06.07,2011.02.24,,,,기업신용평가
롯데렌탈(주),정기,A+,Stable,A+,Stable,2010.06.07,2010.06.07,2013.06.26,,,,기업신용평가
신세계건설(주),정기,A,Stable,A,Stable,2010.06.07,2010.06.07,2010.08.26,,,,기업신용평가
엘지전자(주),정기,AA,Stable,AA,Stable,2010.06.07,2010.06.07,2030.02.02,,,,기업신용평가
풀무원식품(주),정기,A-,Stable,A-,Stable,2010.06.07,2010.06.07,2018.03.18,,,,기업신용평가
현대건설(주),정기,AA-,Stable,AA-,Stable,2010.06.07,2010.06.07,2010.10.17,,,,기업신용평가
(주)동국에스엔씨,정기,BBB-,Positive,BBB,Stable,2010.06.04,2010.06.04,2010.11.29,,,,기업신용평가
(주)신세계,정기,AA+,Stable,AA+,Stable,2010.06.04,2010.06.04,2010.09.15,,,,기업신용평가
DB금융투자(주),본,,,A,Stable,2010.06.04,2010.06.04,2011.06.04,,,,기업신용평가
금호석유화학(주),수시,BBB-↓,,BBB-,Stable,2010.06.04,2010.06.04,2010.08.12,,,,기업신용평가
동국산업(주),본,,,BBB,Stable,2010.06.04,2010.06.04,2011.01.13,,,,기업신용평가
씨제이대한통운(주),수시,A-↓,,A,Stable,2010.06.04,2010.06.04,2013.07.22,,,,기업신용평가
아시아나항공(주),수시,BBB-↓,,BBB-,Stable,2010.06.04,2010.06.04,2010.07.14,,,,기업신용평가
삼성물산(주),본,,,AA+,Stable,2010.06.03,2010.06.03,2011.06.03,,,,기업신용평가
하나캐피탈(주),정기,A,Stable,A,Stable,2010.06.03,2010.06.03,2018.04.22,,,,기업신용평가
유안타증권(주),본,,,A+,Stable,2010.06.01,2010.06.01,2011.05.31,,,,기업신용평가
신한카드(주),정기,AA,Positive,AA,Positive,2010.05.31,2010.05.31,2018.04.29,,,,기업신용평가
에스케이네트웍스(주),본,,,AA-,Stable,2010.05.31,2010.05.31,2011.04.13,,,,기업신용평가
한솔아트원제지(주),본,,,BBB+,Stable,2010.05.31,2010.05.31,2018.05.16,,,,기업신용평가
현대시멘트(주),수시,BBB+,Stable,CCC,Stable,2010.05.31,2010.05.31,2013.04.13,,,,기업신용평가
대신에프앤아이(주),정기,A+,Stable,A+,Stable,2010.05.28,2010.05.28,2018.06.22,,,,기업신용평가
엘지디스플레이(주),정기,AA-,Stable,AA-,Positive,2010.05.28,2010.05.28,2022.06.02,,,,기업신용평가
제일모직(주),정기,AA-,Stable,AA,Stable,2010.05.28,2010.05.28,2017.08.16,,,,기업신용평가
중소기업은행,정기,AAA,Stable,AAA,Stable,2010.05.28,2010.05.28,2018.05.29,,,,기업신용평가
(주)현대금속,수시,CC↓,,D,,2010.05.27,2010.05.27,2013.04.25,,,,기업신용평가
대한해운(주),정기,BBB+,Stable,BBB+,Stable,2010.05.27,2010.05.27,2012.11.04,,,,기업신용평가
에코버디제삼차(유),본,,,A,Stable,2010.05.26,2010.05.26,2012.05.28,,,,기업신용평가
한화호텔앤드리조트(주),본,,,BBB+,Stable,2010.05.26,2010.05.26,2013.10.21,,,,기업신용평가
현대위아(주),정기,A,Stable,A,Stable,2010.05.26,2010.05.26,2023.04.11,,,,기업신용평가
금호건설(주),본,,,BB+,Stable,2010.05.25,2010.05.25,2011.05.25,,,,기업신용평가
에스케이(주),정기,AA+,Stable,AA+,Stable,2010.05.25,2010.05.25,2022.02.06,,,,기업신용평가
(주)전북은행,정기,AA+,Stable,AA+,Stable,2010.05.24,2010.05.24,2010.06.08,,,,기업신용평가
(주)대국,본,,,CCC,Stable,2010.05.20,2010.05.20,2012.06.01,,,,기업신용평가
하나에스케이카드(주),본,,,AA,Stable,2010.05.20,2010.05.20,2019.09.17,,,,기업신용평가
(주)에이치엔에이치글로벌리소스,수시,B,Stable,취소,,2010.05.19,2010.05.19,2011.12.14,,,,기업신용평가
(주)포스코건설,정기,AA-,Stable,AA-,Stable,2010.05.19,2010.05.19,2019.03.13,,,,기업신용평가
씨제이인터넷(주),정기,A,Stable,A,Stable,2010.05.19,2010.05.19,2010.05.27,,,,기업신용평가
엘에스엠트론(주),본,,,A,Stable,2010.05.19,2010.05.19,2020.04.17,,,,기업신용평가
(주)이랜드,본,,,BBB,Stable,2010.05.18,2010.05.18,2013.05.31,,,,기업신용평가
(주)현대금속,정기,CCC,Stable,CC↓,,2010.05.18,2010.05.18,2013.04.25,,,,기업신용평가
에쓰오일(주),본,,,AA+,Stable,2010.05.18,2010.05.18,2027.02.22,,,,기업신용평가
한국비티엘인프라투융자회사,본,,,AA+,Stable,2010.05.18,2010.05.18,2011.05.18,,,,기업신용평가
(주)포스코아이씨티,정기,A+,Stable,A+,Stable,2010.05.17,2010.05.17,2014.06.27,,,,기업신용평가
중앙일보(주),정기,BBB-,Stable,BBB-,Stable,2010.05.17,2010.05.17,2011.05.15,,,,기업신용평가
(주)피오엠디자인,본,,,BB-,Stable,2010.05.13,2010.05.13,2011.05.13,,,,기업신용평가
군인공제회,본,,,AA+,Stable,2010.05.13,2010.05.13,2011.05.13,,,,기업신용평가
엔에이치투자증권(주),정기,AA,Stable,AA,Positive,2010.05.13,2010.05.13,2011.05.13,,,,기업신용평가
삼화페인트공업(주),정기,BBB,Stable,BBB+,Stable,2010.05.12,2010.05.12,2014.03.30,,,,기업신용평가
(주)마니커,수시,BB,Stable,취소,,2010.05.11,2010.05.11,2010.07.27,,,,기업신용평가
기륭이앤이(주),본,,,B-,Stable,2010.05.11,2010.05.11,2013.12.10,,,,기업신용평가
롯데쇼핑(주),본,,,AA+,Stable,2010.05.11,2010.05.11,2010.09.09,,,,기업신용평가
(주)한진해운,정기,A,Stable,A,Stable,2010.05.10,2010.05.10,2016.09.30,,,,기업신용평가
수산업협동조합중앙회(신용사업),정기,AAA,Stable,AAA,Stable,2010.05.10,2010.05.10,2043.06.12,,,,기업신용평가
